基金代码,基金名称,场内价格,场内涨幅(%),估算净值,估算涨幅(%),溢价率(%),套利信号,状态
165521,中信保诚中证800金融指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
165522,中信保诚中证TMT(LOF)A,1.4370,-1.24%,1.4434,0.00%,-0.44,无明显机会,T-1:1.4434 v_active_top10
165523,中信保诚中证信息安全指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
165524,中信保诚中证智能家居指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
165525,中信保诚中证基建工程指数(LOF)A,0.6900,-1.99%,0.6894,-2.42%,0.08,无明显机会,T-1:0.7065 v_index_full_no_cash
165526,中信保诚新旺混合(LOF)A,1.0000,0.00%,1.6109,0.00%,-37.92,折价买入(转场内赎回),T-1:1.6109 v_active_top10
165528,中信保诚鼎利混合(LOF)A,2.6410,-2.33%,2.6965,0.14%,-2.06,折价买入(转场内赎回),T-1:2.6927 v_active_top10_blend
165531,中信保诚多策略混合(LOF)A,1.0000,0.00%,1.9720,0.00%,-49.29,折价买入(转场内赎回),T-1:1.9720 v_active_top10
166006,中欧行业成长混合(LOF)A,2.3540,-1.71%,2.4049,0.11%,-2.12,折价买入(转场内赎回),T-1:2.4023 v_active_top10_blend
166009,中欧新动力混合(LOF)A,3.2920,-0.84%,3.3862,0.11%,-2.78,折价买入(转场内赎回),T-1:3.3825 v_active_top10_blend
166011,中欧盛世成长混合(LOF)A,1.6570,-3.16%,1.7191,0.07%,-3.61,折价买入(转场内赎回),T-1:1.7179 v_active_top10_blend
166023,中欧瑞丰灵活配置混合(LOF)A,1.3390,-2.97%,1.3757,0.12%,-2.67,折价买入(转场内赎回),T-1:1.3741 v_active_top10_blend
166107,信澳量化多因子混合(LOF)A,1.3180,-1.49%,1.3496,0.00%,-2.34,折价买入(转场内赎回),T-1:1.3496 v_active_top10
166109,信澳量化先锋(LOF)A,1.0000,0.00%,1.1552,0.04%,-13.43,折价买入(转场内赎回),T-1:1.1547 v_active_top10_blend
166802,浙商沪深300指数增强(LOF)A,1.0000,0.00%,2.4109,-1.67%,-58.52,折价买入(转场内赎回),T-1:2.4518 v_index_full_no_cash
167001,平安鼎泰混合(LOF),1.8810,0.00%,1.8913,0.00%,-0.54,无明显机会,T-1:1.8913 v_active_top10
167002,平安鼎越混合(LOF),5.0840,-3.51%,5.2884,0.07%,-3.87,折价买入(转场内赎回),T-1:5.2848 v_active_top10_blend
167003,平安鼎弘混合(LOF)A,1.1530,-0.60%,1.1681,0.00%,-1.29,折价买入(转场内赎回),T-1:1.1681 v_active_top10
167302,方正富邦大湾区综指(LOF),0.9800,0.00%,0.9964,0.16%,-1.64,折价买入(转场内赎回),T-1:0.9948 v_active_top10_blend
167504,安信中短利率债(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:1.1002 v_active_bench_csi1000
167506,安信深圳科技指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
167508,安信价值发现两年定开混合(LOF),1.6510,-1.08%,1.6883,0.00%,-2.21,折价买入(转场内赎回),T-1:1.6883 v_active_top10
167702,德邦量化优选股票(LOF)A,1.0000,0.00%,1.2838,0.00%,-22.11,折价买入(转场内赎回),T-1:1.2838 v_active_top10
168101,九泰锐智事件驱动混合(LOF),1.4260,-1.31%,1.4609,0.06%,-2.39,折价买入(转场内赎回),T-1:1.4600 v_active_top10_blend
168102,九泰锐富事件驱动混合发起式(LOF)A,1.1170,-0.71%,1.1395,0.04%,-1.97,折价买入(转场内赎回),T-1:1.1390 v_active_top10_blend
168103,九泰锐益混合(LOF)A,1.3710,-0.65%,1.3956,0.04%,-1.76,折价买入(转场内赎回),T-1:1.3950 v_active_top10_blend
168104,九泰锐丰灵活配置混合(LOF)A,0.8150,-1.21%,0.8345,0.06%,-2.33,折价买入(转场内赎回),T-1:0.8340 v_active_top10_blend
168105,九泰泰富灵活配置混合(LOF)A,2.4830,0.08%,2.5042,0.03%,-0.85,无明显机会,T-1:2.5034 v_active_top10_blend
168203,国联国证钢铁行业指数(LOF)A,1.1340,-2.07%,1.1358,-1.58%,-0.16,无明显机会,T-1:1.1540 v_index_full_no_cash
168204,国联中证煤炭指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168301,东海祥龙(LOF)A,0.8000,-0.99%,0.8186,0.00%,-2.27,折价买入(转场内赎回),T-1:0.8186 v_active_top10
168401,红土精选混合(LOF)A,5.9710,-3.69%,6.1325,0.13%,-2.63,折价买入(转场内赎回),T-1:6.1245 v_active_top10_blend
168701,合煦智远金融科技指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
169104,东方红睿满沪港深混合(LOF)A,2.9200,-3.05%,2.8880,0.10%,1.11,溢价卖出(申购转场内),T-1:2.8850 v_active_top10_blend
169105,东方红睿华沪港深混合(LOF)A,2.0990,-0.05%,2.1405,0.13%,-1.94,折价买入(转场内赎回),T-1:2.1378 v_active_top10_blend
501001,财通多策略精选混合(LOF),1.4950,-2.10%,1.5400,0.07%,-2.92,折价买入(转场内赎回),T-1:1.5390 v_active_top10_blend
501005,汇添富中证精准医疗指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501007,汇添富中证互联网医疗指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501009,汇添富中证生物科技指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501011,汇添富中证中药ETF联接(LOF)A,1.0170,-2.40%,1.0193,-2.47%,-0.23,无明显机会,T-1:1.0451 v_index_full_no_cash
501015,财通多策略升级混合(LOF)A,2.7840,-1.52%,2.8796,0.06%,-3.32,折价买入(转场内赎回),T-1:2.8780 v_active_top10_blend
501016,国泰中证申万证券行业指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501017,国泰融丰外延增长混合(LOF)A,1.3610,0.00%,1.3517,0.00%,0.69,无明显机会,T-1:1.3517 v_active_top10
501019,国泰国证航天军工指数(LOF)A,1.1690,-1.35%,1.1675,-1.83%,0.13,无明显机会,T-1:1.1893 v_index_full_no_cash
501021,华宝港股通标普香港上市中国中小盘指数(LOF)A,1.2860,-1.68%,1.2771,-2.65%,0.70,无明显机会,T-1:1.3118 v_index_full_no_cash
501022,银华鑫盛灵活配置混合(LOF)A,2.8010,-0.21%,2.8233,0.12%,-0.79,无明显机会,T-1:2.8200 v_active_top10_blend
501025,鹏华中证香港银行指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501026,财通多策略福享混合(LOF),2.3030,-2.37%,2.3907,0.08%,-3.67,折价买入(转场内赎回),T-1:2.3887 v_active_top10_blend
501028,财通多策略福瑞混合发起式(LOF)A,1.3960,-0.85%,1.4229,0.00%,-1.89,折价买入(转场内赎回),T-1:1.4229 v_active_top10
501029,华宝标普中国A股红利机会ETF联接A(LOF),1.7380,-0.69%,1.7066,-2.65%,1.84,溢价卖出(申购转场内),T-1:1.7530 v_index_full_no_cash
501030,汇添富中证环境治理指数(LOF)A,0.5070,-1.93%,0.4982,-3.47%,1.77,溢价卖出(申购转场内),T-1:0.5161 v_index_full_no_cash
501032,财通福盛混合发起(LOF)A,1.5830,-2.28%,1.6440,0.10%,-3.71,折价买入(转场内赎回),T-1:1.6424 v_active_top10_blend
501036,汇添富中证500ETF联接(LOF)A,1.4510,-2.09%,1.4450,-2.61%,0.41,无明显机会,T-1:1.4837 v_index_full_no_cash
501043,汇添富沪深300指数(LOF)A,1.5970,-1.66%,1.5988,-1.67%,-0.11,无明显机会,T-1:1.6259 v_index_full_no_cash
501047,汇添富中证全指证券公司ETF联接(LOF)A,1.1250,-2.00%,1.1261,-2.01%,-0.09,无明显机会,T-1:1.1492 v_index_full_no_cash
501051,圆信永丰汇利混合(LOF),2.0690,0.00%,2.1189,0.13%,-2.35,折价买入(转场内赎回),T-1:2.1161 v_active_top10_blend
501057,汇添富中证新能源汽车产业指数(LOF)A,2.0880,-2.38%,2.0838,-3.02%,0.20,无明显机会,T-1:2.1488 v_index_full_no_cash
501060,中金中证优选300指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501062,南方瑞合定开混合(LOF),2.0310,-1.26%,2.1402,0.12%,-5.10,折价买入(转场内赎回),T-1:2.1376 v_active_top10_blend
501064,国泰价值优选灵活配置混合(LOF)A,3.4150,-0.90%,3.4846,0.12%,-2.00,折价买入(转场内赎回),T-1:3.4803 v_active_top10_blend
501071,泓德丰泽混合(LOF)A,0.9490,0.96%,0.9608,0.13%,-1.22,折价买入(转场内赎回),T-1:0.9595 v_active_top10_blend
501073,华安智联混合(LOF)A,2.1170,-0.84%,2.1533,0.14%,-1.68,折价买入(转场内赎回),T-1:2.1503 v_active_top10_blend
501075,万家科创主题灵活配置混合(LOF)A,3.4240,-1.04%,3.3704,0.14%,1.59,溢价卖出(申购转场内),T-1:3.3658 v_active_top10_blend
501076,鹏华创新动力混合(LOF),1.5390,-5.41%,1.5914,0.07%,-3.29,折价买入(转场内赎回),T-1:1.5903 v_active_top10_blend
501077,富国创新企业灵活配置混合(LOF)A,3.2650,-0.15%,3.3071,0.15%,-1.27,折价买入(转场内赎回),T-1:3.3022 v_active_top10_blend
501078,广发科创主题灵活配置混合(LOF),2.7570,-1.54%,2.8070,0.12%,-1.78,折价买入(转场内赎回),T-1:2.8036 v_active_top10_blend
501079,大成科创主题混合(LOF)A,4.6110,-2.41%,4.7229,0.07%,-2.37,折价买入(转场内赎回),T-1:4.7198 v_active_top10_blend
501080,中金科创主题灵活配置混合(LOF),1.5570,-3.05%,1.5901,0.11%,-2.08,折价买入(转场内赎回),T-1:1.5883 v_active_top10_blend
501081,中欧科创主题混合(LOF)A,3.0700,-0.23%,3.0862,0.09%,-0.53,无明显机会,T-1:3.0834 v_active_top10_blend
501082,博时科创主题灵活配置混合(LOF)A,4.1100,-2.42%,4.1383,0.10%,-0.68,无明显机会,T-1:4.1343 v_active_top10_blend
501083,银华科创主题灵活配置混合(LOF),2.1010,-1.22%,2.1072,0.11%,-0.30,无明显机会,T-1:2.1049 v_active_top10_blend
501085,财通科创主题灵活配置混合(LOF)A,2.7970,-2.58%,2.8959,0.05%,-3.41,折价买入(转场内赎回),T-1:2.8944 v_active_top10_blend
501087,交银瑞丰混合(LOF),1.3140,1.00%,1.3335,0.04%,-1.46,折价买入(转场内赎回),T-1:1.3330 v_active_top10_blend
501089,方正富邦消费红利指数增强(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501091,嘉实欣荣混合(LOF)A,0.9480,0.32%,0.9657,0.09%,-1.84,折价买入(转场内赎回),T-1:0.9649 v_active_top10_blend
501092,交银瑞思混合(LOF),1.2510,-0.16%,1.2783,0.13%,-2.14,折价买入(转场内赎回),T-1:1.2767 v_active_top10_blend
501095,中银证券科技创新混合(LOF),0.9160,-3.58%,0.9382,0.09%,-2.37,折价买入(转场内赎回),T-1:0.9374 v_active_top10_blend
