stock_code,stock_name,weight_pct,market,report_date
300750,宁德时代,0.6,sz,2026-06-30
601318,中国平安,0.31,sh,2026-06-30
002475,立讯精密,0.31,sz,2026-06-30
600183,生益科技,0.26,sh,2026-06-30
300274,阳光电源,0.24,sz,2026-06-30
300308,中际旭创,0.24,sz,2026-06-30
688008,澜起科技,0.24,sh,2026-06-30
300502,新易盛,0.23,sz,2026-06-30
000786,北新建材,0.22,sz,2026-06-30
688266,泽璟制药,0.2,sh,2026-06-30
300750,宁德时代,0.61,sz,2026-06-30
600519,贵州茅台,0.42,sh,2026-06-30
601318,中国平安,0.33,sh,2026-06-30
300308,中际旭创,0.33,sz,2026-06-30
601899,紫金矿业,0.3,sh,2026-06-30
300059,东方财富,0.28,sz,2026-06-30
600036,招商银行,0.27,sh,2026-06-30
000568,泸州老窖,0.24,sz,2026-06-30
002475,立讯精密,0.24,sz,2026-06-30
002812,恩捷股份,0.24,sz,2026-06-30
