stock_code,stock_name,weight_pct,market,report_date
300502,新易盛,9.48,sz,2026-06-30
002384,东山精密,9.41,sz,2026-06-30
688498,源杰科技,9.29,sh,2026-06-30
600105,永鼎股份,8.2,sh,2026-06-30
688037,芯源微,7.85,sh,2026-06-30
300548,长芯博创,7.8,sz,2026-06-30
601208,东材科技,5.83,sh,2026-06-30
300395,菲利华,5.49,sz,2026-06-30
688661,和林微纳,5.36,sh,2026-06-30
301511,德福科技,4.59,sz,2026-06-30
688037,芯源微,8.81,sh,2026-06-30
688498,源杰科技,8.74,sh,2026-06-30
688372,伟测科技,7.4,sh,2026-06-30
300502,新易盛,7.33,sz,2026-06-30
688012,中微公司,6.61,sh,2026-06-30
300548,长芯博创,6.13,sz,2026-06-30
300658,延江股份,6.09,sz,2026-06-30
600105,永鼎股份,6.04,sh,2026-06-30
002384,东山精密,5.71,sz,2026-06-30
688661,和林微纳,5.49,sh,2026-06-30
