fund_code,t1_date,t1_nav,estimated_nav,estimated_change_pct,method,official_nav,official_change_pct,trade_date,abs_error_pp,abs_error_ppct,rel_error_ppct
160223,2026-04-24,2.033,2.020437238577234,-0.6179,v_index_full,2.023,-0.49,2026-04-27,0.0026,0.126,-0.126
160223,2026-04-27,2.023,1.992104468079812,-1.5272,v_index_full,1.9956,-1.35,2026-04-28,0.0035,0.1728,-0.1728
160223,2026-04-28,1.9956,2.043793014934974,2.415,v_index_full,2.0432,2.39,2026-04-29,0.0006,0.0298,0.0298
160223,2026-04-29,2.0432,2.0356043369714647,-0.3718,v_index_full,2.0393,-0.19,2026-04-30,0.0037,0.1809,-0.1809
160223,2026-04-30,2.0393,2.0932801292696404,2.647,v_index_full,2.0919,2.58,2026-05-06,0.0014,0.0677,0.0677
160223,2026-05-06,2.0919,2.1202041543216943,1.353,v_index_full,2.1207,1.38,2026-05-07,0.0005,0.0237,-0.0237
160223,2026-05-07,2.1207,2.098147740985876,-1.0634,v_index_full,2.1015,-0.91,2026-05-08,0.0034,0.158,-0.158
160223,2026-05-08,2.1015,2.172940769649496,3.3995,v_index_full,2.1713,3.32,2026-05-11,0.0016,0.0781,0.0781
160223,2026-05-11,2.1713,2.1723936848026484,0.0504,v_index_full,2.1748,0.16,2026-05-12,0.0024,0.1108,-0.1108
160223,2026-05-12,2.1748,2.22980232368503,2.5291,v_index_full,2.2289,2.49,2026-05-13,0.0009,0.0415,0.0415
160223,2026-05-13,2.2289,2.1785461737742526,-2.2591,v_index_full,2.1833,-2.05,2026-05-14,0.0048,0.2132,-0.2132
160223,2026-05-14,2.1833,2.168918060923683,-0.6587,v_index_full,2.1724,-0.5,2026-05-15,0.0035,0.1595,-0.1595
160223,2026-05-15,2.1724,2.162382427816498,-0.4611,v_index_full,2.1656,-0.31,2026-05-18,0.0032,0.1481,-0.1481
160223,2026-05-18,2.1656,2.159873630575689,-0.2644,v_index_full,2.1625,-0.14,2026-05-19,0.0026,0.1213,-0.1213
160223,2026-05-19,2.1625,2.1677244759479364,0.2416,v_index_full,2.1692,0.31,2026-05-20,0.0015,0.0682,-0.0682
160223,2026-05-20,2.1692,2.1161386964217606,-2.4461,v_index_full,2.1219,-2.18,2026-05-21,0.0058,0.2656,-0.2656
160223,2026-05-21,2.1219,2.180016388867321,2.7389,v_index_full,2.1768,2.59,2026-05-22,0.0032,0.1516,0.1516
160223,2026-05-22,2.1768,2.220308065565639,1.9987,v_index_full,2.2189,1.93,2026-05-25,0.0014,0.0647,0.0647
160223,2026-05-25,2.2189,2.228768961064967,0.4448,v_index_full,2.2304,0.52,2026-05-26,0.0016,0.0735,-0.0735
160223,2026-05-26,2.2304,2.229662945099981,-0.033,v_index_full,2.2322,0.08,2026-05-27,0.0025,0.1137,-0.1137
160223,2026-05-27,2.2322,2.2737215954798753,1.8601,v_index_full,2.2733,1.84,2026-05-28,0.0004,0.0189,0.0189
160223,2026-05-28,2.2733,2.2230132725592866,-2.2121,v_index_full,2.2273,-2.02,2026-05-29,0.0043,0.1886,-0.1886
160223,2026-05-29,2.2273,2.1770798148956487,-2.2548,v_index_full,2.1819,-2.04,2026-06-01,0.0048,0.2165,-0.2165
