stock_code,stock_name,weight_pct,market,report_date
002353,杰瑞股份,8.32,sz,2026-06-30
000657,中钨高新,8.0,sz,2026-06-30
300408,三环集团,7.53,sz,2026-06-30
603067,振华股份,7.44,sh,2026-06-30
603308,应流股份,7.17,sh,2026-06-30
002138,顺络电子,6.97,sz,2026-06-30
000338,潍柴动力,6.37,sz,2026-06-30
600482,中国动力,6.32,sh,2026-06-30
603186,华正新材,5.26,sh,2026-06-30
600875,东方电气,5.03,sh,2026-06-30
600482,中国动力,7.92,sh,2026-06-30
600875,东方电气,7.43,sh,2026-06-30
002353,杰瑞股份,7.07,sz,2026-06-30
300274,阳光电源,6.79,sz,2026-06-30
603308,应流股份,6.35,sh,2026-06-30
002463,沪电股份,5.74,sz,2026-06-30
000534,万泽股份,5.66,sz,2026-06-30
600183,生益科技,4.62,sh,2026-06-30
688390,固德威,4.54,sh,2026-06-30
002028,思源电气,4.47,sz,2026-06-30
