stock_code,stock_name,weight_pct,market,report_date
601899,紫金矿业,12.38,sh,2026-06-30
603993,洛阳钼业,7.9,sh,2026-06-30
600111,北方稀土,6.27,sh,2026-06-30
600549,厦门钨业,4.88,sh,2026-06-30
000657,中钨高新,4.5,sz,2026-06-30
002460,赣锋锂业,3.81,sz,2026-06-30
603799,华友钴业,3.78,sh,2026-06-30
601600,中国铝业,3.36,sh,2026-06-30
002466,天齐锂业,3.27,sz,2026-06-30
600489,中金黄金,2.71,sh,2026-06-30
301666,大普微,0.03,sz,2026-06-30
688820,盛合晶微,0.02,sh,2026-06-30
688781,视涯科技,0.01,sh,2026-06-30
688808,联讯仪器,0.01,sh,2026-06-30
001399,惠科股份,0.01,sz,2026-06-30
601899,紫金矿业,13.21,sh,2026-06-30
603993,洛阳钼业,6.5,sh,2026-06-30
600111,北方稀土,5.23,sh,2026-06-30
601600,中国铝业,3.92,sh,2026-06-30
603799,华友钴业,3.86,sh,2026-06-30
002460,赣锋锂业,3.84,sz,2026-06-30
600489,中金黄金,3.37,sh,2026-06-30
600547,山东黄金,3.16,sh,2026-06-30
600988,赤峰黄金,3.11,sh,2026-06-30
000807,云铝股份,2.8,sz,2026-06-30
688795,摩尔线程,0.03,sh,2026-06-30
688802,沐曦股份,0.02,sh,2026-06-30
688783,西安奕材,0.01,sh,2026-06-30
688765,禾元生物,0.01,sh,2026-06-30
688781,视涯科技,0.01,sh,2026-06-30
