stock_code,stock_name,weight_pct,market,report_date
300750,宁德时代,13.65,sz,2026-06-30
300274,阳光电源,7.65,sz,2026-06-30
002594,比亚迪,6.58,sz,2026-06-30
600487,亨通光电,6.45,sh,2026-06-30
300124,汇川技术,4.33,sz,2026-06-30
300014,亿纬锂能,3.02,sz,2026-06-30
600549,厦门钨业,2.8,sh,2026-06-30
600406,国电南瑞,2.64,sh,2026-06-30
601012,隆基绿能,2.63,sh,2026-06-30
603799,华友钴业,2.42,sh,2026-06-30
688808,联讯仪器,0.04,sh,2026-06-30
688820,盛合晶微,0.02,sh,2026-06-30
688797,臻宝科技,0.02,sh,2026-06-30
688635,长进光子,0.01,sh,2026-06-30
688785,恒运昌,0.01,sh,2026-06-30
300750,宁德时代,13.66,sz,2026-06-30
002594,比亚迪,8.44,sz,2026-06-30
300274,阳光电源,7.05,sz,2026-06-30
300124,汇川技术,4.17,sz,2026-06-30
601012,隆基绿能,3.42,sh,2026-06-30
600487,亨通光电,3.03,sh,2026-06-30
600406,国电南瑞,2.91,sh,2026-06-30
603799,华友钴业,2.86,sh,2026-06-30
002460,赣锋锂业,2.77,sz,2026-06-30
300014,亿纬锂能,2.61,sz,2026-06-30
301683,慧谷新材,0.02,sz,2026-06-30
301696,三瑞智能,0.01,sz,2026-06-30
603459,红板科技,0.01,sh,2026-06-30
301638,南网数字,0.01,sz,2026-06-30
688796,百奥赛图,0.01,sh,2026-06-30
