stock_code,stock_name,weight_pct,market,report_date
300502,新易盛,7.56,sz,2026-06-30
300308,中际旭创,6.77,sz,2026-06-30
600105,永鼎股份,4.95,sh,2026-06-30
688498,源杰科技,4.56,sh,2026-06-30
002384,东山精密,4.54,sz,2026-06-30
300223,北京君正,3.68,sz,2026-06-30
600487,亨通光电,3.66,sh,2026-06-30
688630,芯碁微装,3.47,sh,2026-06-30
688521,芯原股份,3.42,sh,2026-06-30
688256,寒武纪,3.08,sh,2026-06-30
300308,中际旭创,8.64,sz,2026-06-30
300502,新易盛,8.47,sz,2026-06-30
002384,东山精密,7.01,sz,2026-06-30
688498,源杰科技,4.83,sh,2026-06-30
301358,湖南裕能,3.54,sz,2026-06-30
688630,芯碁微装,3.42,sh,2026-06-30
300207,欣旺达,3.22,sz,2026-06-30
300438,鹏辉能源,2.95,sz,2026-06-30
688717,艾罗能源,2.61,sh,2026-06-30
002812,恩捷股份,2.42,sz,2026-06-30
