log_time,fund_code,trade_date,t1_date,t1_nav,method,estimated_nav,estimated_change_pct,official_nav,official_change_pct,abs_error_pp,rel_error_pp
2026-07-08T01:29:17.840666,160223,2026-07-06,2026-07-03,2.2247,v_index_full,2.1831417368618986,-1.868,2.1679,-1.67,0.6852,0.6852
2026-07-08T01:30:27.342499,160223,2026-07-06,2026-07-03,2.2247,v_index_full,2.1831417368618986,-1.868,2.1875,-1.67,0.1959,-0.1959
2026-07-14T02:31:19.818397,160223,2026-07-13,2026-07-10,2.1318,v_index_full_no_cash,2.06566463814407,-3.1023,2.068,-2.99,0.1095,-0.1095
2026-07-15T02:55:22.415740,160223,2026-07-14,2026-07-13,2.068,v_index_full_no_cash,2.1388787310491666,3.4274,2.1343,3.21,0.2214,0.2214
2026-07-15T03:24:57.305470,160223,2026-07-14,2026-07-13,2.068,v_index_full_no_cash,2.1388787310491666,3.4274,2.1343,3.21,0.2214,0.2214
