stock_code,stock_name,weight_pct,market,report_date
688037,芯源微,9.16,sh,2026-06-30
300604,长川科技,8.06,sz,2026-06-30
688808,联讯仪器,6.79,sh,2026-06-30
688630,芯碁微装,6.38,sh,2026-06-30
300567,精测电子,5.75,sz,2026-06-30
688347,华虹宏力,5.42,sh,2026-06-30
002475,立讯精密,5.19,sz,2026-06-30
688521,芯原股份,5.12,sh,2026-06-30
300408,三环集团,4.91,sz,2026-06-30
002837,英维克,4.17,sz,2026-06-30
688521,芯原股份,7.15,sh,2026-06-30
002001,新和成,6.03,sz,2026-06-30
002837,英维克,5.61,sz,2026-06-30
300677,英科医疗,5.28,sz,2026-06-30
688630,芯碁微装,4.6,sh,2026-06-30
688037,芯源微,4.55,sh,2026-06-30
002475,立讯精密,4.43,sz,2026-06-30
002812,恩捷股份,4.3,sz,2026-06-30
000975,山金国际,3.88,sz,2026-06-30
600188,兖矿能源,3.85,sh,2026-06-30
