date,open,high,low,close,volume
2025-07-01,125.030,128.800,124.890,127.200,28989671
2025-07-02,124.920,125.580,121.300,124.980,35024403
2025-07-03,127.420,130.970,126.050,129.660,45725982
2025-07-04,129.820,132.280,127.330,128.350,43903020
2025-07-07,126.500,128.890,121.400,126.490,40760076
2025-07-08,126.480,135.000,126.050,134.980,47831456
2025-07-09,134.550,137.970,134.010,135.550,35895657
2025-07-10,137.550,138.580,129.350,133.050,52501876
2025-07-11,134.290,134.350,130.050,131.160,31889434
2025-07-14,132.500,133.100,129.380,130.900,30361222
2025-07-15,149.020,157.080,148.280,157.080,52532323
2025-07-16,161.710,179.280,161.000,169.800,114938625
2025-07-17,167.010,185.000,167.010,183.500,67776128
2025-07-18,186.500,191.000,180.000,182.320,64348991
2025-07-21,184.830,186.600,173.790,178.260,60642007
2025-07-22,178.270,184.200,174.830,176.710,56295828
2025-07-23,172.610,175.550,169.800,174.200,43195628
2025-07-24,176.710,177.330,167.590,172.800,52664231
2025-07-25,172.300,175.730,172.200,172.970,28681657
2025-07-28,172.960,179.760,170.180,177.800,64744705
2025-07-29,178.270,194.430,178.230,193.390,77588423
2025-07-30,188.000,192.370,183.830,190.350,57108186
2025-07-31,199.000,200.880,188.100,189.210,74911172
2025-08-01,185.140,191.600,180.440,183.120,50586343
2025-08-04,179.640,185.340,177.830,184.500,33370543
2025-08-05,189.000,190.010,176.300,182.450,44216574
2025-08-06,180.000,187.580,179.110,186.400,30918074
2025-08-07,186.400,189.460,176.420,183.620,40613292
2025-08-08,183.000,185.580,180.880,182.280,26191517
2025-08-11,182.330,196.300,182.320,192.890,41604654
2025-08-12,193.380,205.000,193.200,204.900,51786686
2025-08-13,206.000,238.600,204.610,236.560,60112024
2025-08-14,233.300,239.800,230.660,231.060,44975726
2025-08-15,230.010,237.210,226.890,233.200,40048328
2025-08-18,233.340,251.660,227.860,244.290,49904050
2025-08-19,244.290,263.600,241.520,256.790,45117554
2025-08-20,247.000,255.480,236.220,255.140,41824052
2025-08-21,255.810,262.600,246.220,257.860,39730356
2025-08-22,254.210,279.000,254.210,273.810,46022274
2025-08-25,283.320,304.080,275.780,296.120,58709956
2025-08-26,298.000,300.900,282.040,282.040,48995724
2025-08-27,290.090,324.420,290.090,308.330,73510829
2025-08-28,301.800,355.190,301.800,354.950,73004179
2025-08-29,350.000,368.000,337.000,356.200,60879725
2025-09-01,362.000,399.900,352.010,388.500,66046191
2025-09-02,388.000,401.100,345.000,358.200,92619589
2025-09-03,355.000,382.000,345.800,369.710,73612607
2025-09-04,383.000,393.710,309.000,312.100,104140314
2025-09-05,321.000,354.000,310.000,349.250,84643485
2025-09-08,339.990,340.000,295.160,314.500,79476720
2025-09-09,307.020,320.310,305.000,315.320,53004985
2025-09-10,340.010,346.880,321.370,334.950,74575156
2025-09-11,345.990,381.520,345.000,379.900,76090353
2025-09-12,360.000,365.990,352.800,357.980,57941996
2025-09-15,343.010,355.980,338.000,350.300,37752426
2025-09-16,348.940,357.880,332.330,345.750,51092822
2025-09-17,343.080,352.260,336.000,347.660,34392971
2025-09-18,339.020,359.890,333.880,345.510,52509056
2025-09-19,350.900,358.470,336.970,350.000,44482040
2025-09-22,348.000,348.000,328.880,343.000,41011855
2025-09-23,361.110,369.800,338.000,353.000,55574690
2025-09-24,344.020,363.990,333.800,354.640,43971560
2025-09-25,348.230,385.880,341.000,376.000,56432193
2025-09-26,376.130,388.410,372.000,374.000,38610713
2025-09-29,370.110,398.600,370.110,388.280,41373209
2025-09-30,389.000,395.000,363.000,365.770,49588233
2025-10-09,374.000,374.770,350.000,351.150,52292141
2025-10-10,355.010,365.560,345.210,346.200,43954136
2025-10-13,328.120,348.600,325.200,348.600,44351947
2025-10-14,355.700,355.700,315.680,316.500,61231792
2025-10-15,321.300,324.330,310.000,322.590,35521127
2025-10-16,317.810,336.000,317.030,324.760,31175370
2025-10-17,322.500,326.660,314.220,316.310,30653561
2025-10-20,335.010,345.750,324.580,329.240,48732624
2025-10-21,330.010,375.580,324.330,365.420,61468967
2025-10-22,360.310,373.770,360.310,362.830,38918229
2025-10-23,360.200,363.000,340.000,347.760,33456268
2025-10-24,355.000,378.200,345.010,372.970,54893569
2025-10-27,390.000,414.000,381.000,403.950,58161738
2025-10-28,395.000,423.200,395.000,410.620,48021506
2025-10-29,428.000,433.330,399.310,406.100,56357787
2025-10-30,382.000,394.870,372.480,374.000,78561225
2025-10-31,371.840,373.000,342.100,344.310,58400410
2025-11-03,339.980,350.500,335.850,346.760,38702931
2025-11-04,349.110,359.630,345.000,348.040,34639620
2025-11-05,335.100,348.500,335.100,346.100,25761831
2025-11-06,353.020,362.560,347.690,356.710,39446483
2025-11-07,350.100,358.000,344.110,349.790,29313991
2025-11-10,349.950,353.790,322.750,336.000,47260087
2025-11-11,340.000,346.970,322.750,326.000,37609494
2025-11-12,320.330,331.680,315.880,329.100,40497204
2025-11-13,328.800,328.880,317.550,325.850,27865564
2025-11-14,318.010,319.680,310.580,310.580,32676772
2025-11-17,314.330,320.070,306.660,311.700,31986719
2025-11-18,308.010,324.930,306.610,316.860,34407922
2025-11-19,316.300,328.000,313.890,322.400,35095593
2025-11-20,338.520,343.280,324.250,327.740,39377620
2025-11-21,313.900,314.000,299.850,300.000,43700371
2025-11-24,304.560,308.780,287.310,293.000,46835740
2025-11-25,303.000,315.500,302.030,304.720,46420147
2025-11-26,302.000,341.610,297.550,331.120,67878578
2025-11-27,324.000,364.900,323.500,340.800,63125316
2025-11-28,340.000,357.770,338.000,347.800,41449168
2025-12-01,352.000,361.000,343.570,355.610,38685890
2025-12-02,355.620,369.110,351.490,365.000,37860549
2025-12-03,371.800,392.800,370.000,373.130,58027711
2025-12-04,367.130,375.910,362.780,374.250,33677454
2025-12-05,381.650,386.000,373.730,377.510,35427159
2025-12-08,375.120,415.510,375.030,404.520,55941327
2025-12-09,404.830,426.500,402.030,419.130,48343738
2025-12-10,418.000,438.890,398.680,432.260,51510640
2025-12-11,428.530,451.710,415.000,416.510,61049264
2025-12-12,417.000,439.550,417.000,428.000,58376870
2025-12-15,411.880,443.000,410.000,426.810,38653159
2025-12-16,420.980,425.980,401.800,407.200,38788498
2025-12-17,408.510,446.330,408.500,446.100,49263895
2025-12-18,437.210,443.600,423.500,425.500,40042065
2025-12-19,436.000,449.090,425.510,434.300,35719127
2025-12-22,451.170,466.660,447.000,462.990,39332418
2025-12-23,462.900,468.810,454.100,458.000,29543421
2025-12-24,459.990,461.990,447.000,453.510,29816263
2025-12-25,456.000,464.550,441.000,447.990,28256808
2025-12-26,441.000,450.000,435.790,445.300,24906944
2025-12-29,440.000,450.980,433.670,444.500,24667645
2025-12-30,440.000,454.880,436.710,446.000,25884954
2025-12-31,445.000,451.290,430.000,430.880,28617821
2026-01-05,437.010,440.850,416.680,426.630,35750112
2026-01-06,410.000,421.380,405.500,417.550,40426191
2026-01-07,426.020,429.990,412.500,420.300,30330497
2026-01-08,415.430,421.690,405.000,410.340,28938073
2026-01-09,397.010,406.900,382.060,398.220,42295410
2026-01-12,386.000,399.000,372.540,391.350,54267472
2026-01-13,385.260,402.890,381.380,383.200,39660732
2026-01-14,388.000,394.970,375.710,383.970,45117212
2026-01-15,380.160,405.000,376.510,400.000,50545374
2026-01-16,410.130,411.000,391.840,397.190,46760106
2026-01-19,392.210,409.100,391.610,403.180,33836949
2026-01-20,401.520,401.900,377.000,382.560,42398892
2026-01-21,383.010,402.220,383.000,394.800,39179186
2026-01-22,395.290,411.980,393.000,409.700,43721218
2026-01-23,405.860,405.860,380.500,383.020,50208995
2026-01-26,379.800,392.360,374.510,388.630,31978312
2026-01-27,387.550,412.580,385.570,399.240,41420779
2026-01-28,405.000,409.110,393.000,393.050,35317597
2026-01-29,400.010,405.000,392.310,393.000,33758223
2026-01-30,388.490,425.000,387.800,419.490,50837380
2026-02-02,457.240,472.000,435.390,439.000,77787974
2026-02-03,457.000,460.000,411.490,429.100,65751558
2026-02-04,410.000,415.000,381.670,399.200,59655715
2026-02-05,391.000,399.900,381.100,383.000,36506803
2026-02-06,376.050,378.870,357.000,364.060,46150683
2026-02-09,379.980,399.000,375.300,390.150,47393980
2026-02-10,392.190,405.820,388.500,393.110,29301270
2026-02-11,390.100,393.500,368.140,371.660,44280557
2026-02-12,373.020,384.990,361.720,365.760,44615122
2026-02-13,362.040,373.140,357.000,366.110,29831825
2026-02-24,368.000,385.880,353.200,372.060,46519370
2026-02-25,370.000,388.300,368.510,382.000,33978567
2026-02-26,384.010,388.580,375.310,385.900,31663399
2026-02-27,371.000,372.740,358.020,359.860,50910073
2026-03-02,347.740,385.000,346.740,381.000,55207325
