stock_code,stock_name,weight_pct,market,report_date
002384,东山精密,4.99,sz,2026-06-30
002281,光迅科技,4.83,sz,2026-06-30
688313,仕佳光子,4.73,sh,2026-06-30
300570,太辰光,3.92,sz,2026-06-30
600105,永鼎股份,3.63,sh,2026-06-30
300620,光库科技,3.59,sz,2026-06-30
300382,斯莱克,3.5,sz,2026-06-30
688808,联讯仪器,3.07,sh,2026-06-30
688702,盛科通信,3.05,sh,2026-06-30
600105,永鼎股份,8.65,sh,2026-06-30
688205,德科立,8.3,sh,2026-06-30
002384,东山精密,8.16,sz,2026-06-30
688702,盛科通信,7.65,sh,2026-06-30
688195,腾景科技,6.75,sh,2026-06-30
002428,云南锗业,6.37,sz,2026-06-30
300394,天孚通信,5.63,sz,2026-06-30
300502,新易盛,5.1,sz,2026-06-30
600330,天通股份,4.98,sh,2026-06-30
