date,open,high,low,close,volume
2022-05-09,231.0,236.89,231.0,232.73,17511635.0
2022-05-10,224.1,233.66,222.28,233.33,20969664.0
2022-05-11,232.0,256.66,231.5,252.7,45952571.0
2022-05-12,249.99,257.7,248.71,254.09,24115606.0
2022-05-13,259.8,271.5,255.91,270.08,36712061.0
2022-05-16,271.11,273.0,265.3,267.12,20236880.0
2022-05-17,268.98,285.0,268.5,282.5,29348903.0
2022-05-18,282.5,288.0,279.0,281.42,20530270.0
2022-05-19,275.31,285.35,274.3,284.51,17363651.0
2022-05-20,287.01,291.61,281.2,287.7,17868336.0
2022-05-23,292.7,298.0,287.81,295.2,25558816.0
2022-05-24,290.0,292.96,281.0,281.0,29049653.0
2022-05-25,281.26,288.65,278.03,287.2,23085773.0
2022-05-26,287.37,291.22,282.5,286.64,14309499.0
2022-05-27,292.95,297.61,286.65,288.88,15318685.0
2022-05-30,292.0,299.7,291.08,298.12,21852350.0
2022-05-31,300.0,300.96,293.51,295.91,17701119.0
2022-06-01,298.0,304.8,293.12,299.98,21691175.0
2022-06-02,296.0,305.0,295.22,301.02,17772777.0
2022-06-06,304.0,320.47,302.55,318.23,29475729.0
2022-06-07,318.0,319.87,311.11,314.89,20022089.0
2022-06-08,318.6,328.06,313.01,327.41,29051340.0
2022-06-09,334.03,334.8,321.0,322.41,30754172.0
2022-06-10,321.5,350.0,321.06,348.8,43824900.0
2022-06-13,346.0,358.86,340.6,348.8,36068132.0
2022-06-14,342.0,344.79,327.23,343.59,40478934.0
2022-06-15,343.97,346.23,332.52,335.0,30394787.0
2022-06-16,335.5,342.7,333.41,336.0,19017245.0
2022-06-17,330.1,341.2,327.07,338.0,26214759.0
2022-06-20,338.08,348.66,335.02,342.18,24541557.0
2022-06-21,339.76,341.8,332.2,341.0,19782739.0
2022-06-22,342.42,347.63,338.0,339.88,18678783.0
2022-06-23,344.7,354.05,338.0,353.5,32314226.0
2022-06-24,352.99,356.28,346.01,351.05,23598355.0
2022-06-27,352.07,357.0,348.33,349.69,21715524.0
2022-06-28,347.0,358.8,342.71,352.9,26963471.0
2022-06-29,349.99,350.0,331.49,331.61,36114602.0
2022-06-30,331.0,339.35,330.0,333.49,22014478.0
2022-07-01,332.18,333.0,320.1,329.2,23411263.0
2022-07-04,332.0,338.21,330.2,336.16,20951206.0
2022-07-05,337.0,340.6,329.59,333.89,17375703.0
2022-07-06,333.8,340.6,331.99,336.1,18343420.0
2022-07-07,337.7,351.95,333.37,349.38,30464874.0
2022-07-08,349.38,351.88,338.0,338.0,19047757.0
2022-07-11,335.88,335.88,318.88,324.3,25431744.0
2022-07-12,320.0,321.0,300.08,309.0,45051469.0
2022-07-13,309.0,313.84,296.77,309.88,34106695.0
2022-07-14,308.91,323.0,307.0,323.0,27248936.0
