date,open,high,low,close,volume
2026-05-29,0.825,0.826,0.795,0.8,471900.0
2026-06-01,0.802,0.809,0.788,0.788,713617.0
2026-06-02,0.79,0.815,0.79,0.814,1099480.0
2026-06-03,0.815,0.836,0.814,0.826,1087120.0
2026-06-04,0.819,0.833,0.817,0.824,349221.0
2026-06-05,0.817,0.824,0.799,0.8,486400.0
2026-06-08,0.788,0.788,0.736,0.775,308106.0
2026-06-09,0.782,0.797,0.776,0.797,1332075.0
2026-06-10,0.797,0.805,0.786,0.787,115053.0
2026-06-11,0.789,0.8,0.781,0.784,226486.0
2026-06-12,0.791,0.81,0.791,0.8,223553.0
2026-06-15,0.801,0.825,0.801,0.822,655472.0
2026-06-16,0.828,0.835,0.821,0.826,313091.0
2026-06-17,0.825,0.845,0.825,0.845,1287645.0
2026-06-18,0.849,0.875,0.845,0.873,1657057.0
2026-06-22,0.872,0.884,0.861,0.884,648545.0
2026-06-23,0.875,0.875,0.841,0.85,501004.0
2026-06-24,0.842,0.87,0.83,0.867,533985.0
2026-06-25,0.865,0.889,0.865,0.888,514444.0
2026-06-26,0.888,0.888,0.848,0.865,156600.0
2026-06-29,0.874,0.883,0.85,0.882,337231.0
2026-06-30,0.882,0.909,0.882,0.909,1715227.0
2026-07-01,0.904,0.925,0.893,0.896,634521.0
2026-07-02,0.887,0.887,0.853,0.856,1038147.0
2026-07-03,0.86,0.874,0.848,0.865,364747.0
2026-07-06,0.86,0.866,0.835,0.86,681748.0
2026-07-07,0.863,0.868,0.846,0.859,387300.0
2026-07-08,0.859,0.877,0.852,0.868,398900.0
2026-07-09,0.879,0.918,0.875,0.917,1200036.0
2026-07-10,0.917,0.929,0.878,0.888,1520223.0
2026-07-13,0.896,0.898,0.855,0.867,483372.0
2026-07-14,0.879,0.879,0.838,0.871,766021.0
2026-07-15,0.88,0.889,0.858,0.867,529606.0
2026-07-16,0.859,0.875,0.835,0.853,625340.0
2026-07-17,0.844,0.845,0.813,0.818,897623.0
2026-07-20,0.828,0.831,0.792,0.815,1323758.0
2026-07-21,0.806,0.86,0.792,0.86,2275186.0
2026-07-22,0.859,0.864,0.833,0.839,1090306.0
2026-07-23,0.847,0.847,0.816,0.823,637476.0
2026-07-24,0.816,0.821,0.81,0.818,472672.0
