date,open,high,low,close,volume
2026-05-29,1.054,1.07,1.052,1.057,41735.0
2026-06-01,1.058,1.149,1.053,1.068,65435.0
2026-06-02,1.057,1.071,1.046,1.07,68241.0
2026-06-03,1.06,1.062,1.048,1.06,11378.0
2026-06-04,1.052,1.067,1.049,1.057,13500.0
2026-06-05,1.059,1.059,1.04,1.043,94900.0
2026-06-08,1.038,1.044,1.03,1.031,5200.0
2026-06-09,1.036,1.036,1.023,1.03,40400.0
2026-06-10,1.03,1.04,1.03,1.04,102173.0
2026-06-11,1.041,1.041,1.029,1.029,45281.0
2026-06-12,1.028,1.065,1.028,1.065,28488.0
2026-06-15,1.07,1.111,1.067,1.09,111394.0
2026-06-16,1.086,1.101,1.086,1.1,14270.0
2026-06-17,1.108,1.11,1.096,1.099,29200.0
2026-06-18,1.099,1.099,1.068,1.074,42883.0
2026-06-22,1.069,1.149,1.068,1.149,168477.0
2026-06-23,1.151,1.174,1.148,1.158,280214.0
2026-06-24,1.146,1.16,1.123,1.126,203199.0
2026-06-25,1.137,1.177,1.125,1.162,108872.0
2026-06-26,1.158,1.164,1.13,1.131,267422.0
2026-06-29,1.13,1.152,1.121,1.134,171390.0
2026-06-30,1.13,1.145,1.126,1.145,83353.0
2026-07-01,1.145,1.2,1.137,1.185,103240.0
2026-07-02,1.173,1.174,1.161,1.164,38721.0
2026-07-03,1.162,1.177,1.131,1.166,96492.0
2026-07-06,1.178,1.18,1.163,1.173,68438.0
2026-07-07,1.162,1.163,1.14,1.152,156461.0
2026-07-08,1.14,1.142,1.129,1.129,140248.0
2026-07-09,1.139,1.152,1.125,1.145,32572.0
2026-07-10,1.135,1.145,1.129,1.134,43032.0
2026-07-13,1.123,1.134,1.114,1.123,27500.0
2026-07-14,1.112,1.119,1.107,1.119,3630.0
2026-07-15,1.13,1.153,1.129,1.153,16530.0
2026-07-16,1.141,1.141,1.127,1.127,18033.0
2026-07-17,1.128,1.137,1.117,1.121,19575.0
2026-07-20,1.13,1.138,1.127,1.135,41330.0
2026-07-21,1.138,1.158,1.138,1.143,60747.0
2026-07-22,1.132,1.143,1.121,1.141,7300.0
2026-07-23,1.13,1.148,1.13,1.148,5100.0
2026-07-24,1.126,1.138,1.125,1.125,20989.0
