stock_code,stock_name,weight_pct,market,report_date
601000,唐山港,5.84,sh,2026-06-30
000951,中国重汽,4.8,sz,2026-06-30
600428,中远海特,4.35,sh,2026-06-30
600519,贵州茅台,3.81,sh,2026-06-30
600030,中信证券,3.75,sh,2026-06-30
600031,三一重工,3.54,sh,2026-06-30
002142,宁波银行,3.41,sz,2026-06-30
000100,TCL科技,3.12,sz,2026-06-30
603129,春风动力,2.82,sh,2026-06-30
600519,贵州茅台,8.65,sh,2026-06-30
601000,唐山港,8.02,sh,2026-06-30
603345,安井食品,4.56,sh,2026-06-30
600428,中远海特,4.45,sh,2026-06-30
000951,中国重汽,3.78,sz,2026-06-30
000729,燕京啤酒,3.19,sz,2026-06-30
601077,渝农商行,2.76,sh,2026-06-30
600418,江淮汽车,2.35,sh,2026-06-30
