date,open,high,low,close,volume
2022-05-05,44.83,46.68,44.6,45.43,12301553.0
2022-05-06,44.43,44.8,42.75,43.6,8519039.0
2022-05-09,43.04,43.17,42.18,42.48,8241867.0
2022-05-10,42.0,43.96,41.71,43.92,7445912.0
2022-05-11,43.89,45.42,43.68,44.89,7502339.0
2022-05-12,44.4,46.45,44.2,45.6,7969478.0
2022-05-13,45.56,45.87,44.4,44.9,5769865.0
2022-05-16,44.92,45.38,43.39,44.01,6591811.0
2022-05-17,43.95,44.78,43.8,44.69,5004431.0
2022-05-18,44.6,44.65,43.3,43.49,7225273.0
2022-05-19,42.8,43.66,42.66,43.3,5818486.0
2022-05-20,43.4,45.68,43.4,45.67,11979612.0
2022-05-23,45.67,45.98,44.41,44.78,8279434.0
2022-05-24,44.84,44.93,43.31,43.32,8653444.0
2022-05-25,43.45,44.16,42.71,43.82,9241153.0
2022-05-26,43.6,44.44,42.88,44.17,9248544.0
2022-05-27,44.1,44.9,43.4,43.7,9388680.0
2022-05-30,43.8,45.95,43.75,45.9,16269621.0
2022-05-31,45.2,46.6,44.2,45.99,14624952.0
2022-06-01,45.88,46.82,45.33,45.7,8024750.0
2022-06-02,45.74,46.0,45.08,45.41,5345709.0
2022-06-06,45.8,46.34,44.85,46.23,7745293.0
2022-06-07,46.0,48.45,45.92,47.82,12388865.0
2022-06-08,47.34,48.53,47.13,47.95,9919290.0
2022-06-09,47.6,48.6,46.78,47.15,6879930.0
2022-06-10,46.95,47.73,46.66,47.71,6424897.0
2022-06-13,47.5,47.65,46.21,46.69,7420501.0
2022-06-14,46.3,47.69,46.01,47.45,6387116.0
2022-06-15,47.49,49.8,47.29,48.91,11489688.0
2022-06-16,48.83,50.2,48.8,49.21,7669805.0
2022-06-17,48.8,50.08,48.75,49.8,7100987.0
2022-06-20,49.8,51.18,49.6,50.37,8030655.0
2022-06-21,50.1,51.38,49.58,50.04,9017029.0
2022-06-22,49.9,50.31,48.6,49.21,7417778.0
2022-06-23,49.24,49.79,48.15,49.3,6234863.0
2022-06-24,49.3,50.09,49.02,49.65,6412501.0
2022-06-27,49.73,50.7,49.65,50.06,7357174.0
2022-06-28,50.06,50.18,48.9,49.63,8228484.0
2022-06-29,49.46,50.28,49.0,49.12,5182271.0
2022-06-30,49.12,51.92,49.0,51.0,11721037.0
2022-07-01,50.88,51.4,50.01,50.6,6090322.0
2022-07-04,50.08,50.5,49.1,49.69,10086224.0
2022-07-05,49.69,50.3,48.22,48.8,10021983.0
2022-07-06,48.64,48.85,46.01,47.06,10663779.0
2022-07-07,47.06,47.06,45.93,46.41,12021602.0
2022-07-08,46.67,47.48,46.44,46.77,7288095.0
2022-07-11,46.3,46.47,45.0,45.54,8460854.0
2022-07-12,45.67,45.9,44.62,44.75,7078645.0
2022-07-13,44.99,45.08,44.0,44.6,10002402.0
2022-07-14,44.45,44.85,44.02,44.16,7740269.0
2022-07-15,44.3,45.56,43.9,43.95,11235347.0
2022-07-18,43.93,44.3,42.7,44.15,8649732.0
2022-07-19,44.09,44.37,43.5,43.96,7218363.0
2022-07-20,44.3,44.64,43.86,44.32,8235737.0
2022-07-21,44.32,44.32,43.4,43.41,7271785.0
2022-07-22,43.7,43.99,42.8,43.25,5534918.0
2022-07-25,43.23,43.87,42.65,43.75,6794075.0
2022-07-26,44.0,46.69,44.0,46.1,22284278.0
2022-07-27,45.91,46.98,45.15,45.41,11557947.0
2022-07-28,45.56,45.79,44.75,44.78,6754322.0
2022-07-29,44.78,44.8,43.48,43.77,9840550.0
2022-08-01,46.0,47.36,45.5,46.76,29898289.0
2022-08-02,46.05,47.38,45.61,46.6,13650400.0
2022-08-03,47.0,47.38,45.65,45.9,11172470.0
2022-08-04,45.87,47.51,45.7,47.15,11412705.0
2022-08-05,47.5,47.95,46.63,47.18,8067703.0
2022-08-08,46.9,47.53,46.6,46.89,6669048.0
2022-08-09,46.88,47.11,46.21,46.92,5902618.0
2022-08-10,46.68,47.13,46.52,46.97,7007794.0
2022-08-11,46.98,47.3,46.26,47.0,7444878.0
2022-08-12,47.0,47.28,46.63,47.11,5885668.0
2022-08-15,46.82,47.2,46.2,46.49,6434788.0
2022-08-16,46.54,46.7,45.77,46.05,6104683.0
2022-08-17,45.85,46.52,45.77,46.43,4958608.0
2022-08-18,46.1,46.42,44.96,45.78,8139706.0
2022-08-19,45.3,46.1,45.21,45.41,4411753.0
2022-08-22,45.44,46.08,44.97,45.93,3743505.0
2022-08-23,45.65,45.99,45.28,45.39,4330071.0
2022-08-24,45.41,45.66,44.48,44.6,4974112.0
2022-08-25,44.66,45.59,44.4,45.59,5935707.0
2022-08-26,45.76,46.53,45.57,45.9,7322195.0
2022-08-29,45.5,46.5,45.33,46.0,7229836.0
2022-08-30,45.97,46.23,45.5,46.21,4721037.0
2022-08-31,46.45,46.68,45.6,46.2,10881794.0
2022-09-01,45.7,45.8,43.9,44.28,15070361.0
2022-09-02,44.2,44.3,43.17,43.51,7958877.0
2022-09-05,43.18,43.49,41.72,42.29,9726499.0
2022-09-06,42.18,42.55,41.8,42.4,4899148.0
2022-09-07,42.01,42.2,41.41,41.62,8311094.0
2022-09-08,41.62,42.16,41.58,41.58,5359376.0
2022-09-09,41.58,42.02,41.38,41.97,4461968.0
2022-09-13,42.09,42.62,41.74,42.58,7961985.0
2022-09-14,41.96,42.35,41.6,42.0,5934418.0
2022-09-15,42.08,43.3,42.08,42.67,9094088.0
2022-09-16,42.65,43.13,42.0,42.04,6467450.0
2022-09-19,41.99,43.79,41.4,43.09,9082665.0
2022-09-20,43.48,43.97,42.16,43.79,9074131.0
2022-09-21,43.68,43.9,42.83,43.15,5349127.0
2022-09-22,42.83,43.79,42.57,42.98,4665027.0
2022-09-23,42.97,44.5,42.8,44.09,10164896.0
