stock_code,stock_name,weight_pct,market,report_date
002859,洁美科技,7.21,sz,2026-06-30
000333,美的集团,6.82,sz,2026-06-30
688392,骄成超声,6.8,sh,2026-06-30
603005,晶方科技,6.46,sh,2026-06-30
002415,海康威视,5.78,sz,2026-06-30
002422,科伦药业,5.6,sz,2026-06-30
301585,蓝宇股份,3.94,sz,2026-06-30
688188,柏楚电子,3.89,sh,2026-06-30
600079,ST人福,3.73,sh,2026-06-30
600298,安琪酵母,3.44,sh,2026-06-30
000333,美的集团,7.06,sz,2026-06-30
301585,蓝宇股份,5.67,sz,2026-06-30
002415,海康威视,5.26,sz,2026-06-30
002422,科伦药业,5.16,sz,2026-06-30
002859,洁美科技,4.9,sz,2026-06-30
688617,惠泰医疗,4.47,sh,2026-06-30
600079,ST人福,4.38,sh,2026-06-30
688392,骄成超声,4.22,sh,2026-06-30
603005,晶方科技,3.93,sh,2026-06-30
600298,安琪酵母,3.93,sh,2026-06-30
