date,open,high,low,close,volume
2026-05-29,1.247,1.247,1.21,1.215,653800.0
2026-06-01,1.215,1.235,1.208,1.208,2072606.0
2026-06-02,1.21,1.217,1.192,1.215,600990.0
2026-06-03,1.216,1.216,1.195,1.2,650028.0
2026-06-04,1.19,1.215,1.178,1.184,432400.0
2026-06-05,1.18,1.188,1.156,1.17,577996.0
2026-06-08,1.158,1.182,1.127,1.14,1135201.0
2026-06-09,1.157,1.173,1.133,1.171,955824.0
2026-06-10,1.169,1.169,1.134,1.145,1275194.0
2026-06-11,1.136,1.158,1.133,1.148,827286.0
2026-06-12,1.146,1.183,1.146,1.17,770512.0
2026-06-15,1.182,1.194,1.175,1.194,1001545.0
2026-06-16,1.2,1.221,1.193,1.218,845000.0
2026-06-17,1.206,1.218,1.2,1.211,579798.0
2026-06-18,1.211,1.212,1.191,1.205,988793.0
2026-06-22,1.2,1.229,1.175,1.228,1333972.0
2026-06-23,1.227,1.227,1.172,1.183,1501600.0
2026-06-24,1.18,1.204,1.157,1.197,1009387.0
2026-06-25,1.197,1.197,1.177,1.183,355974.0
2026-06-26,1.18,1.183,1.116,1.117,1348000.0
2026-06-29,1.119,1.131,1.095,1.13,954662.0
2026-06-30,1.13,1.16,1.13,1.158,878577.0
2026-07-01,1.158,1.183,1.14,1.169,1018467.0
2026-07-02,1.157,1.191,1.157,1.158,403066.0
2026-07-03,1.17,1.182,1.161,1.176,412914.0
2026-07-06,1.176,1.181,1.148,1.149,792594.0
2026-07-07,1.15,1.169,1.131,1.135,528083.0
2026-07-08,1.129,1.146,1.081,1.082,1455500.0
2026-07-09,1.082,1.093,1.04,1.081,1105946.0
2026-07-10,1.081,1.087,1.057,1.057,718015.0
2026-07-13,1.057,1.065,1.016,1.016,691726.0
2026-07-14,1.016,1.033,1.006,1.025,398446.0
2026-07-15,1.035,1.045,1.026,1.026,513944.0
2026-07-16,1.023,1.036,1.01,1.013,262100.0
2026-07-17,1.011,1.018,0.98,0.987,655700.0
2026-07-20,0.987,1.0,0.95,0.964,602324.0
2026-07-21,0.964,1.0,0.964,1.0,926700.0
2026-07-22,0.997,0.997,0.985,0.986,445100.0
2026-07-23,0.988,1.019,0.977,1.015,896243.0
2026-07-24,1.015,1.015,0.99,0.99,478800.0
