date,open,high,low,close,volume
2026-05-29,3.654,3.799,3.58,3.709,360520.0
2026-06-01,3.679,3.679,3.49,3.52,108602.0
2026-06-02,3.5,3.638,3.466,3.626,164943.0
2026-06-03,3.662,3.88,3.662,3.846,209980.0
2026-06-04,3.799,4.162,3.701,4.108,914609.0
2026-06-05,4.13,4.519,3.891,4.519,1558057.0
2026-06-08,4.067,4.067,4.067,4.067,542500.0
2026-06-09,3.66,3.88,3.66,3.743,6491778.0
2026-06-10,3.646,3.698,3.5,3.603,3729956.0
2026-06-11,3.579,3.674,3.511,3.593,2401689.0
2026-06-12,3.72,3.725,3.578,3.581,2457881.0
2026-06-15,3.637,3.775,3.56,3.773,2751429.0
2026-06-16,3.839,3.986,3.793,3.969,3301327.0
2026-06-17,3.919,4.07,3.886,4.062,2457483.0
2026-06-18,4.056,4.278,4.052,4.234,1663736.0
2026-06-22,4.3,4.42,4.198,4.386,2918992.0
2026-06-23,4.36,4.36,4.105,4.163,2377987.0
2026-06-24,4.09,4.238,4.064,4.207,2355630.0
2026-06-25,4.343,4.486,4.281,4.484,2166908.0
2026-06-26,4.443,4.443,4.25,4.279,1263626.0
2026-06-29,4.2,4.379,4.12,4.281,1973529.0
2026-06-30,4.304,4.538,4.304,4.537,1404382.0
2026-07-01,4.537,4.54,4.299,4.364,1790118.0
2026-07-02,4.192,4.231,4.019,4.038,1569799.0
2026-07-03,3.908,4.092,3.908,4.013,1268066.0
2026-07-06,4.044,4.119,3.612,3.887,1123228.0
2026-07-07,3.851,3.897,3.657,3.835,1276175.0
2026-07-08,3.841,3.98,3.758,3.838,798249.0
2026-07-09,3.894,4.169,3.88,4.155,1158960.0
2026-07-10,4.204,4.298,3.957,3.96,1164079.0
2026-07-13,3.851,3.955,3.699,3.709,673191.0
2026-07-14,3.779,3.947,3.709,3.938,995372.0
2026-07-15,3.978,3.978,3.785,3.804,1195950.0
2026-07-16,3.648,3.797,3.424,3.6,691261.0
2026-07-17,3.599,3.599,3.28,3.335,1283852.0
2026-07-20,3.397,3.469,3.168,3.269,973141.0
2026-07-21,3.271,3.57,3.106,3.567,1007163.0
2026-07-22,3.555,3.602,3.431,3.471,815066.0
2026-07-23,3.488,3.523,3.368,3.39,423578.0
2026-07-24,3.356,3.371,3.284,3.285,347913.0
