stock_code,stock_name,weight_pct,market,report_date
300750,宁德时代,4.18,sz,2026-06-30
300308,中际旭创,3.94,sz,2026-06-30
600900,长江电力,2.91,sh,2026-06-30
002463,沪电股份,2.66,sz,2026-06-30
300438,鹏辉能源,2.5,sz,2026-06-30
688981,中芯国际,2.47,sh,2026-06-30
300604,长川科技,2.46,sz,2026-06-30
600549,厦门钨业,2.45,sh,2026-06-30
603259,药明康德,2.33,sh,2026-06-30
002850,科达利,2.09,sz,2026-06-30
300750,宁德时代,3.93,sz,2026-06-30
603259,药明康德,3.41,sh,2026-06-30
600036,招商银行,3.26,sh,2026-06-30
600519,贵州茅台,3.05,sh,2026-06-30
601899,紫金矿业,3.0,sh,2026-06-30
600309,万华化学,2.52,sh,2026-06-30
600900,长江电力,2.51,sh,2026-06-30
601318,中国平安,2.5,sh,2026-06-30
688392,骄成超声,2.12,sh,2026-06-30
601398,工商银行,2.04,sh,2026-06-30
