stock_code,stock_name,weight_pct,market,report_date
300502,新易盛,9.3,sz,2026-06-30
300750,宁德时代,9.08,sz,2026-06-30
300308,中际旭创,8.98,sz,2026-06-30
300394,天孚通信,4.28,sz,2026-06-30
300548,长芯博创,3.93,sz,2026-06-30
300059,东方财富,3.22,sz,2026-06-30
300274,阳光电源,3.0,sz,2026-06-30
300223,北京君正,2.93,sz,2026-06-30
300408,三环集团,2.75,sz,2026-06-30
300476,胜宏科技,2.61,sz,2026-06-30
301666,大普微,0.06,sz,2026-06-30
001248,华润新能源,0.04,sz,2026-06-30
301682,宏明电子,0.01,sz,2026-06-30
001399,惠科股份,0.01,sz,2026-06-30
001257,盛龙股份,0.01,sz,2026-06-30
300750,宁德时代,9.61,sz,2026-06-30
300308,中际旭创,8.75,sz,2026-06-30
300502,新易盛,7.25,sz,2026-06-30
300274,阳光电源,5.7,sz,2026-06-30
300059,东方财富,4.28,sz,2026-06-30
300476,胜宏科技,2.72,sz,2026-06-30
300373,扬杰科技,2.55,sz,2026-06-30
300014,亿纬锂能,2.35,sz,2026-06-30
300394,天孚通信,2.28,sz,2026-06-30
300124,汇川技术,2.28,sz,2026-06-30
001280,中国铀业,0.03,sz,2026-06-30
301683,慧谷新材,0.02,sz,2026-06-30
301696,三瑞智能,0.01,sz,2026-06-30
301682,宏明电子,0.01,sz,2026-06-30
301638,南网数字,0.01,sz,2026-06-30
