stock_code,stock_name,weight_pct,market,report_date
688041,海光信息,9.58,sh,2026-06-30
002475,立讯精密,9.07,sz,2026-06-30
688003,天准科技,5.52,sh,2026-06-30
300750,宁德时代,4.06,sz,2026-06-30
002371,北方华创,3.49,sz,2026-06-30
688002,睿创微纳,3.25,sh,2026-06-30
002317,众生药业,3.23,sz,2026-06-30
600105,永鼎股份,2.97,sh,2026-06-30
688037,芯源微,2.75,sh,2026-06-30
301392,汇成真空,2.65,sz,2026-06-30
688041,海光信息,7.44,sh,2026-06-30
300750,宁德时代,6.89,sz,2026-06-30
002475,立讯精密,5.47,sz,2026-06-30
600522,中天科技,3.69,sh,2026-06-30
601899,紫金矿业,3.45,sh,2026-06-30
002371,北方华创,2.96,sz,2026-06-30
688002,睿创微纳,2.95,sh,2026-06-30
002250,联化科技,2.85,sz,2026-06-30
600584,长电科技,2.83,sh,2026-06-30
688003,天准科技,2.76,sh,2026-06-30
