date,open,high,low,close,volume
2022-05-05,48.0,49.49,46.83,48.29,309467.0
2022-05-06,46.9,47.68,45.33,45.43,559219.0
2022-05-09,45.45,47.18,44.76,46.23,318251.0
2022-05-10,45.1,51.95,44.81,51.8,763419.0
2022-05-11,51.37,55.0,51.37,53.0,745959.0
2022-05-12,52.2,53.7,51.41,53.24,716773.0
2022-05-13,53.77,55.48,52.55,54.74,540651.0
2022-05-16,54.74,55.87,53.38,54.12,464954.0
2022-05-17,53.99,55.08,53.53,54.67,276896.0
2022-05-18,55.14,58.4,53.95,57.68,598208.0
2022-05-19,56.5,60.1,56.5,59.53,403371.0
2022-05-20,59.0,60.94,57.13,58.74,539414.0
2022-05-23,57.88,60.7,57.33,60.19,384108.0
2022-05-24,58.99,59.9,55.77,56.98,345835.0
2022-05-25,57.0,60.68,55.4,58.6,790357.0
2022-05-26,60.68,61.04,56.83,59.14,518923.0
2022-05-27,58.67,60.5,57.2,57.5,414340.0
2022-05-30,57.73,66.0,57.06,63.74,1149713.0
2022-05-31,63.69,68.09,62.29,65.06,1282915.0
2022-06-01,65.2,67.99,63.57,65.08,944977.0
2022-06-02,64.02,67.49,63.13,66.4,848650.0
2022-06-06,67.3,69.8,65.68,67.95,859039.0
2022-06-07,67.67,68.48,66.0,67.02,381116.0
2022-06-08,66.5,68.99,63.88,65.1,743241.0
2022-06-09,65.1,65.1,61.61,62.8,867099.0
2022-06-10,62.98,65.48,61.75,63.58,741124.0
2022-06-13,63.0,65.95,62.5,65.07,636641.0
2022-06-14,63.73,66.34,62.02,63.61,1136586.0
2022-06-15,63.8,65.59,62.2,63.16,529748.0
2022-06-16,63.03,66.94,62.24,64.85,710395.0
2022-06-17,64.5,66.79,64.06,65.0,478815.0
2022-06-20,64.61,66.22,64.25,64.92,464949.0
2022-06-21,64.26,64.7,62.3,63.28,499840.0
2022-06-22,63.28,63.78,61.55,62.01,353759.0
2022-06-23,62.4,65.78,61.63,65.08,801068.0
2022-06-24,65.08,66.6,65.06,65.67,441638.0
2022-06-27,65.7,67.2,64.75,65.7,529355.0
2022-06-28,66.0,68.1,65.43,66.87,429064.0
2022-06-29,66.85,66.97,63.4,63.9,646423.0
2022-06-30,63.64,67.3,63.64,66.56,665318.0
2022-07-01,66.0,67.3,65.0,66.76,540607.0
2022-07-04,66.56,70.8,65.13,69.31,672672.0
2022-07-05,68.87,69.93,67.0,68.51,398874.0
2022-07-06,67.58,69.0,66.42,67.3,724338.0
2022-07-07,66.63,68.86,66.42,68.15,398442.0
2022-07-08,67.47,68.8,67.26,68.0,289933.0
2022-07-11,67.3,67.97,62.6,62.92,761027.0
2022-07-12,62.5,63.25,59.98,61.65,830105.0
2022-07-13,61.03,62.79,60.86,61.79,289800.0
2022-07-14,61.71,64.02,60.81,63.18,320669.0
2022-07-15,63.48,63.61,60.5,61.17,467433.0
2022-07-18,60.73,61.84,58.31,59.8,560494.0
2022-07-19,59.84,61.2,57.72,58.07,642429.0
2022-07-20,58.22,60.25,58.22,60.18,748831.0
2022-07-21,59.69,61.48,59.38,60.08,430236.0
2022-07-22,59.48,60.72,58.65,59.0,456776.0
2022-07-25,59.39,60.89,57.5,59.0,691230.0
2022-07-26,59.08,60.87,58.15,60.62,823556.0
2022-07-27,60.33,64.8,60.0,64.66,1067903.0
2022-07-28,64.92,64.92,63.2,63.8,875237.0
2022-07-29,64.61,64.61,62.5,63.62,582777.0
2022-08-01,63.51,64.99,62.34,64.38,863197.0
2022-08-02,64.0,64.95,61.6,63.71,1035931.0
2022-08-03,63.99,66.5,61.9,63.0,1161964.0
2022-08-04,63.39,64.2,62.34,63.66,688300.0
2022-08-05,63.66,64.99,63.2,64.21,588710.0
2022-08-08,64.3,65.5,63.42,64.7,521528.0
2022-08-09,64.93,65.7,63.5,65.39,547600.0
2022-08-10,64.21,64.98,60.15,62.85,2000609.0
2022-08-11,62.9,63.67,61.61,62.72,1070220.0
2022-08-12,62.64,63.18,60.58,60.58,732360.0
2022-08-15,60.5,61.38,59.1,59.19,636436.0
2022-08-16,59.48,61.55,58.82,60.76,651481.0
2022-08-17,60.76,60.9,58.52,58.97,655740.0
