date,open,high,low,close,volume
2026-05-29,1.284,1.308,1.283,1.308,216483.0
2026-06-01,1.3,1.319,1.3,1.313,49262.0
2026-06-02,1.308,1.339,1.308,1.322,198769.0
2026-06-03,1.314,1.33,1.312,1.318,74243.0
2026-06-04,1.311,1.313,1.298,1.298,23679.0
2026-06-05,1.31,1.318,1.31,1.317,95795.0
2026-06-08,1.316,1.332,1.316,1.332,250094.0
2026-06-09,1.322,1.338,1.322,1.335,130623.0
2026-06-10,1.325,1.354,1.325,1.353,123307.0
2026-06-11,1.351,1.353,1.343,1.343,48775.0
2026-06-12,1.339,1.365,1.334,1.365,202027.0
2026-06-15,1.354,1.367,1.34,1.34,198425.0
2026-06-16,1.34,1.34,1.331,1.337,37600.0
2026-06-17,1.337,1.337,1.323,1.333,88854.0
2026-06-18,1.332,1.332,1.298,1.306,103700.0
2026-06-22,1.306,1.306,1.284,1.3,59191.0
2026-06-23,1.311,1.324,1.303,1.315,39780.0
2026-06-24,1.303,1.305,1.285,1.286,162109.0
2026-06-25,1.285,1.291,1.266,1.267,139322.0
2026-06-26,1.265,1.268,1.259,1.264,95449.0
2026-06-29,1.253,1.262,1.238,1.255,164889.0
2026-06-30,1.247,1.247,1.236,1.243,96891.0
2026-07-01,1.242,1.248,1.236,1.246,15288.0
2026-07-02,1.258,1.258,1.25,1.25,17131.0
2026-07-03,1.261,1.275,1.249,1.249,89839.0
2026-07-06,1.25,1.279,1.243,1.279,234397.0
2026-07-07,1.281,1.284,1.266,1.274,32659.0
2026-07-08,1.283,1.293,1.283,1.289,165125.0
2026-07-09,1.281,1.285,1.277,1.285,21280.0
2026-07-10,1.272,1.287,1.272,1.287,152311.0
2026-07-13,1.279,1.311,1.279,1.311,145733.0
2026-07-14,1.305,1.313,1.302,1.311,42980.0
2026-07-15,1.309,1.329,1.301,1.329,62105.0
2026-07-16,1.329,1.333,1.312,1.32,22691.0
2026-07-17,1.329,1.33,1.315,1.33,354579.0
2026-07-20,1.33,1.355,1.33,1.354,141209.0
2026-07-21,1.357,1.363,1.329,1.33,274621.0
2026-07-22,1.327,1.34,1.311,1.339,639490.0
2026-07-23,1.331,1.352,1.33,1.351,200421.0
2026-07-24,1.35,1.359,1.35,1.352,52094.0
