date,open,high,low,close,volume
2022-05-05,73.49,76.16,72.7,75.03,19023708.0
2022-05-06,72.64,75.14,72.15,73.35,11685007.0
2022-05-09,73.88,75.26,73.18,73.63,10260807.0
2022-05-10,73.48,75.3,71.45,74.49,18044278.0
2022-05-11,74.8,81.9,74.2,79.25,30278859.0
2022-05-12,78.0,78.73,76.81,77.89,18535558.0
2022-05-13,78.5,78.9,76.73,77.05,14882736.0
2022-05-16,38.6,39.0,37.4,37.48,28443401.0
2022-05-17,37.5,39.37,37.01,38.86,44129350.0
2022-05-18,38.86,42.3,38.61,40.76,58329790.0
2022-05-19,39.95,41.42,39.6,41.35,47326066.0
2022-05-20,41.6,41.9,40.61,41.1,41354667.0
2022-05-23,41.15,41.38,40.3,41.1,30762677.0
2022-05-24,41.09,41.09,38.75,38.86,39701655.0
2022-05-25,38.71,39.4,37.89,38.23,33636691.0
2022-05-26,38.61,38.73,37.5,37.86,30236716.0
2022-05-27,38.19,38.97,37.4,37.71,29578007.0
2022-05-30,38.03,38.6,37.4,37.91,28809612.0
2022-05-31,37.89,38.23,36.26,38.05,53289136.0
2022-06-01,38.05,40.13,36.8,40.05,72556180.0
2022-06-02,40.02,41.58,39.31,41.44,82949359.0
2022-06-06,42.0,45.58,41.9,45.58,66162714.0
2022-06-07,47.3,47.48,44.04,44.68,110340295.0
2022-06-08,44.0,44.96,42.78,44.25,75744566.0
2022-06-09,43.41,44.2,42.53,42.86,44304160.0
2022-06-10,43.93,47.12,43.51,46.6,95484737.0
2022-06-13,45.7,50.84,45.47,49.86,106858698.0
2022-06-14,48.99,53.64,48.5,53.16,111847812.0
2022-06-15,53.64,54.82,51.4,51.45,87530972.0
2022-06-16,51.3,54.15,51.27,53.44,77570560.0
2022-06-17,52.75,58.7,52.0,57.68,95541015.0
2022-06-20,57.76,62.35,57.0,58.98,99044896.0
2022-06-21,58.36,59.78,56.1,57.57,91670656.0
2022-06-22,57.98,61.35,57.98,60.57,90100391.0
2022-06-23,61.0,61.5,58.0,60.88,85423699.0
2022-06-24,60.59,64.4,59.0,62.89,82091780.0
2022-06-27,63.24,65.42,62.18,62.24,77504311.0
2022-06-28,63.5,66.36,62.8,65.95,82627595.0
2022-06-29,65.0,65.8,61.9,61.98,80258243.0
2022-06-30,61.88,64.38,61.6,62.06,58173427.0
2022-07-01,61.5,63.2,60.0,62.78,61932786.0
2022-07-04,62.08,66.83,62.08,66.0,75467567.0
2022-07-05,66.73,67.88,64.6,66.75,60155335.0
2022-07-06,66.19,66.19,63.3,64.66,50068004.0
2022-07-07,64.0,66.85,62.43,65.11,55645418.0
2022-07-08,65.51,65.95,62.51,62.51,45470822.0
2022-07-11,62.11,63.39,60.0,61.12,51498625.0
2022-07-12,61.11,61.65,56.72,58.01,72472283.0
2022-07-13,59.0,61.0,57.65,60.65,58974360.0
2022-07-14,59.99,62.0,59.22,60.47,49695627.0
2022-07-15,60.7,61.85,59.07,59.1,43632728.0
2022-07-18,60.29,60.68,58.22,59.06,42158804.0
2022-07-19,59.07,59.45,57.58,58.12,39939998.0
2022-07-20,58.51,58.8,57.1,57.48,35434741.0
2022-07-21,57.1,57.89,56.09,56.09,34259957.0
2022-07-22,56.6,56.88,54.31,55.31,38911828.0
2022-07-25,55.31,56.36,54.27,54.56,31838030.0
2022-07-26,54.38,56.21,53.78,55.07,36020366.0
2022-07-27,55.07,56.0,54.44,55.47,29464506.0
2022-07-28,55.55,55.96,53.27,53.88,41416433.0
2022-07-29,53.85,54.5,52.36,52.38,36050052.0
2022-08-01,52.0,55.0,51.97,55.0,50416167.0
2022-08-02,54.0,55.25,52.84,53.25,44397058.0
2022-08-03,54.01,54.33,51.4,51.57,41855637.0
2022-08-04,51.86,52.88,50.83,51.79,32365874.0
2022-08-05,51.99,52.7,51.12,52.66,31786828.0
2022-08-08,52.01,52.97,51.75,52.33,23737967.0
2022-08-09,52.3,54.98,51.38,54.02,52925109.0
2022-08-10,53.99,54.28,52.1,52.48,37277259.0
2022-08-11,52.54,56.46,51.51,56.2,70208810.0
2022-08-12,56.13,57.84,55.83,55.88,55576605.0
2022-08-15,55.1,57.99,55.08,57.7,47375940.0
2022-08-16,57.99,58.3,57.09,57.78,34965784.0
2022-08-17,57.5,57.55,55.0,55.6,47953636.0
2022-08-18,55.56,56.85,54.7,54.79,36868568.0
2022-08-19,54.8,54.9,51.75,51.75,50701271.0
2022-08-22,51.02,54.17,50.9,53.93,42285682.0
2022-08-23,53.6,56.0,53.4,54.51,38276020.0
2022-08-24,54.51,55.1,52.07,52.45,32129795.0
2022-08-25,52.76,53.0,49.56,50.89,36457295.0
2022-08-26,51.15,51.9,49.81,50.28,31690328.0
2022-08-29,49.5,50.12,48.8,49.38,28848698.0
2022-08-30,49.4,50.31,48.9,50.0,23068868.0
2022-08-31,49.83,49.98,47.32,47.55,35723485.0
2022-09-01,47.57,47.99,46.7,46.98,21703194.0
2022-09-02,47.03,48.1,46.9,47.14,21414251.0
2022-09-05,46.88,47.97,46.8,47.18,19434150.0
2022-09-06,47.66,48.68,46.56,48.26,33617124.0
2022-09-07,47.97,49.65,47.79,48.4,33203578.0
2022-09-08,48.68,48.79,47.24,47.27,20521844.0
2022-09-09,47.17,49.0,47.03,48.53,30089267.0
2022-09-13,48.66,48.9,48.0,48.15,18729388.0
2022-09-14,47.19,47.65,46.6,46.83,21855049.0
2022-09-15,47.0,47.32,44.7,45.01,27570771.0
2022-09-16,44.52,45.43,43.97,44.6,21594017.0
2022-09-19,44.78,46.8,44.61,45.99,28130440.0
2022-09-20,46.22,47.88,46.07,47.03,25123992.0
2022-09-21,46.86,48.26,46.33,48.0,29815105.0
2022-09-22,48.16,49.4,46.91,47.12,32877791.0
2022-09-23,47.12,47.18,45.87,46.63,23991852.0
2022-09-26,46.17,47.7,45.98,46.46,19393095.0
2022-09-27,46.45,47.21,45.14,46.6,19090644.0
2022-09-28,46.23,46.58,44.0,44.0,20375386.0
2022-09-29,44.99,46.46,44.31,46.08,32164069.0
2022-09-30,46.12,46.2,44.04,44.06,22541902.0
2022-10-10,44.2,44.67,41.41,41.6,21646540.0
2022-10-11,42.5,45.76,42.28,45.76,50278735.0
2022-10-12,45.61,47.94,45.0,47.94,53180297.0
2022-10-13,47.17,49.08,47.01,47.92,33655512.0
2022-10-14,48.53,49.0,47.49,48.49,32760198.0
2022-10-17,47.99,48.87,47.31,48.26,24617682.0
2022-10-18,48.65,49.12,47.82,48.2,22304594.0
2022-10-19,48.0,50.0,47.66,48.2,36045225.0
2022-10-20,47.68,48.0,46.48,47.1,25314876.0
2022-10-21,46.93,47.1,45.85,46.18,16976467.0
2022-10-24,46.86,47.39,44.7,45.21,23426698.0
2022-10-25,44.94,45.9,44.06,45.0,19976350.0
2022-10-26,46.0,46.37,44.72,45.31,22869356.0
2022-10-27,45.4,46.33,43.96,43.97,28284557.0
