stock_code,stock_name,weight_pct,market,report_date
600030,中信证券,13.71,sh,2026-06-30
300059,东方财富,12.62,sz,2026-06-30
601211,国泰海通,10.06,sh,2026-06-30
601688,华泰证券,5.9,sh,2026-06-30
600999,招商证券,3.83,sh,2026-06-30
000776,广发证券,3.38,sz,2026-06-30
600958,东方证券,2.21,sh,2026-06-30
601995,中金公司,2.07,sh,2026-06-30
601377,兴业证券,2.04,sh,2026-06-30
000166,申万宏源,1.94,sz,2026-06-30
001248,华润新能源,0.04,sz,2026-06-30
301666,大普微,0.03,sz,2026-06-30
001399,惠科股份,0.01,sz,2026-06-30
301682,宏明电子,0.01,sz,2026-06-30
001257,盛龙股份,0.0,sz,2026-06-30
300059,东方财富,12.83,sz,2026-06-30
600030,中信证券,12.61,sh,2026-06-30
601211,国泰海通,10.07,sh,2026-06-30
601688,华泰证券,5.59,sh,2026-06-30
600999,招商证券,3.08,sh,2026-06-30
000776,广发证券,2.85,sz,2026-06-30
600958,东方证券,2.54,sh,2026-06-30
000166,申万宏源,2.27,sz,2026-06-30
601377,兴业证券,2.18,sh,2026-06-30
601995,中金公司,2.04,sh,2026-06-30
001280,中国铀业,0.01,sz,2026-06-30
301683,慧谷新材,0.01,sz,2026-06-30
301682,宏明电子,0.0,sz,2026-06-30
603459,红板科技,0.0,sh,2026-06-30
301638,南网数字,0.0,sz,2026-06-30
