stock_code,stock_name,weight_pct,market,report_date
300308,中际旭创,2.72,sz,2026-06-30
600887,伊利股份,1.69,sh,2026-06-30
000783,长江证券,1.67,sz,2026-06-30
300502,新易盛,1.46,sz,2026-06-30
601211,国泰海通,1.4,sh,2026-06-30
688256,寒武纪,1.37,sh,2026-06-30
688521,芯原股份,1.27,sh,2026-06-30
600030,中信证券,1.23,sh,2026-06-30
600909,华安证券,1.19,sh,2026-06-30
688200,华峰测控,1.12,sh,2026-06-30
600188,兖矿能源,1.38,sh,2026-06-30
002602,世纪华通,1.38,sz,2026-06-30
600036,招商银行,1.36,sh,2026-06-30
600031,三一重工,1.25,sh,2026-06-30
600938,中国海油,1.04,sh,2026-06-30
601939,建设银行,0.63,sh,2026-06-30
002379,宏桥控股,0.59,sz,2026-06-30
600026,中远海能,0.52,sh,2026-06-30
002202,金风科技,0.29,sz,2026-06-30
002545,东方铁塔,0.28,sz,2026-06-30
