stock_code,stock_name,weight_pct,market,report_date
688702,盛科通信,8.27,sh,2026-06-30
300408,三环集团,8.02,sz,2026-06-30
688256,寒武纪,6.32,sh,2026-06-30
301511,德福科技,6.21,sz,2026-06-30
688498,源杰科技,6.17,sh,2026-06-30
300502,新易盛,6.0,sz,2026-06-30
002837,英维克,5.9,sz,2026-06-30
600183,生益科技,5.46,sh,2026-06-30
002463,沪电股份,5.17,sz,2026-06-30
300308,中际旭创,5.14,sz,2026-06-30
300502,新易盛,8.86,sz,2026-06-30
688498,源杰科技,8.01,sh,2026-06-30
002463,沪电股份,7.86,sz,2026-06-30
300308,中际旭创,7.55,sz,2026-06-30
002837,英维克,6.76,sz,2026-06-30
688256,寒武纪,6.61,sh,2026-06-30
688702,盛科通信,5.67,sh,2026-06-30
688661,和林微纳,5.22,sh,2026-06-30
600183,生益科技,4.46,sh,2026-06-30
002627,三峡旅游,4.11,sz,2026-06-30
