date,open,high,low,close,volume
2026-05-29,2.259,2.259,2.208,2.214,102435746.0
2026-06-01,2.162,2.204,2.162,2.175,81778366.0
2026-06-02,2.161,2.265,2.136,2.246,156661157.0
2026-06-03,2.175,2.213,2.157,2.187,108461605.0
2026-06-04,2.163,2.173,2.151,2.154,79020594.0
2026-06-05,2.128,2.13,2.101,2.111,98882467.0
2026-06-08,1.931,2.01,1.931,1.969,184996771.0
2026-06-09,1.963,1.981,1.941,1.978,116769308.0
2026-06-10,1.878,1.9,1.865,1.882,162219650.0
2026-06-11,1.856,1.877,1.811,1.835,140628719.0
2026-06-12,1.895,1.927,1.865,1.9,179905789.0
2026-06-15,1.997,2.08,1.997,2.078,233039833.0
2026-06-16,2.037,2.069,2.0,2.046,164234587.0
2026-06-17,2.04,2.046,2.02,2.025,100982316.0
2026-06-18,1.998,2.019,1.988,1.992,123944339.0
2026-06-22,1.932,1.99,1.902,1.989,162769467.0
2026-06-23,1.918,1.92,1.878,1.889,146021030.0
2026-06-24,1.83,1.879,1.827,1.873,103882024.0
2026-06-25,1.77,1.799,1.767,1.776,159416981.0
2026-06-26,1.776,1.776,1.702,1.742,125944397.0
2026-06-29,1.739,1.739,1.707,1.723,81848634.0
2026-06-30,1.685,1.729,1.67,1.725,122537288.0
2026-07-01,1.693,1.708,1.682,1.698,92854700.0
2026-07-02,1.735,1.798,1.731,1.792,185242714.0
2026-07-03,1.867,1.959,1.86,1.948,250813359.0
2026-07-06,1.99,2.096,1.899,1.979,252039711.0
2026-07-07,1.9,1.91,1.85,1.872,167339206.0
2026-07-08,1.806,1.9,1.802,1.886,138757791.0
2026-07-09,1.771,1.875,1.771,1.859,147267726.0
2026-07-10,1.887,1.92,1.834,1.871,129347690.0
2026-07-13,1.815,1.823,1.804,1.815,98923017.0
2026-07-14,1.776,1.858,1.766,1.855,113467597.0
2026-07-15,1.86,1.869,1.83,1.838,86881029.0
2026-07-16,1.8,1.828,1.785,1.817,70364364.0
2026-07-17,1.784,1.799,1.77,1.789,97634455.0
2026-07-20,1.781,1.813,1.78,1.802,82008884.0
2026-07-21,1.806,1.906,1.794,1.901,151238589.0
2026-07-22,1.97,1.987,1.901,1.902,169956977.0
2026-07-23,1.906,1.934,1.891,1.896,121028511.0
2026-07-24,1.816,1.84,1.812,1.824,112348223.0
