date,open,high,low,close,volume
2026-05-29,0.852,0.852,0.838,0.852,2316.0
2026-06-01,0.853,0.853,0.843,0.851,628.0
2026-06-02,0.844,0.849,0.836,0.849,2374.0
2026-06-03,0.842,0.846,0.826,0.841,7292.0
2026-06-04,0.836,0.845,0.825,0.831,4288.0
2026-06-05,0.823,0.825,0.804,0.811,8043.0
2026-06-08,0.803,0.806,0.783,0.789,19436.0
2026-06-09,0.793,0.804,0.784,0.802,6626.0
2026-06-10,0.794,0.8,0.781,0.789,12564.0
2026-06-11,0.782,0.788,0.778,0.787,1000.0
2026-06-12,0.793,0.809,0.792,0.803,5700.0
2026-06-15,0.811,0.811,0.802,0.802,12200.0
2026-06-16,0.795,0.795,0.795,0.795,1300.0
2026-06-17,0.787,0.792,0.787,0.79,400.0
2026-06-18,0.788,0.788,0.774,0.775,3500.0
2026-06-22,0.782,0.803,0.782,0.793,10245.0
2026-06-23,0.8,0.8,0.785,0.785,6500.0
2026-06-24,0.77,0.785,0.73,0.769,6614.0
2026-06-25,0.775,0.775,0.767,0.768,3527.0
2026-06-26,0.761,0.768,0.76,0.761,2800.0
2026-06-29,0.761,0.781,0.761,0.777,6300.0
2026-06-30,0.767,0.8,0.767,0.779,44228.0
2026-07-01,0.784,0.856,0.78,0.791,38996.0
2026-07-02,0.789,0.798,0.783,0.784,44800.0
2026-07-03,0.792,0.792,0.77,0.792,1900.0
2026-07-06,0.787,0.796,0.786,0.796,5425.0
2026-07-07,0.789,0.79,0.784,0.784,4727.0
2026-07-08,0.786,0.786,0.786,0.786,1000.0
2026-07-09,0.779,0.782,0.779,0.782,600.0
2026-07-10,0.775,0.792,0.775,0.79,71873.0
2026-07-13,0.783,0.784,0.779,0.779,10516.0
2026-07-14,0.781,0.788,0.781,0.788,3200.0
2026-07-15,0.794,0.807,0.794,0.806,3636.0
2026-07-16,0.801,0.816,0.801,0.816,19038.0
2026-07-17,0.814,0.814,0.805,0.805,16400.0
2026-07-20,0.809,0.824,0.809,0.817,40507.0
2026-07-21,0.827,0.84,0.816,0.817,35220.0
2026-07-22,0.82,0.821,0.816,0.821,9900.0
2026-07-23,0.827,0.829,0.818,0.825,16106.0
2026-07-24,0.826,0.827,0.815,0.815,28700.0
