stock_code,stock_name,weight_pct,market,report_date
600176,中国巨石,9.75,sh,2026-06-30
300750,宁德时代,8.24,sz,2026-06-30
002595,豪迈科技,5.85,sz,2026-06-30
300274,阳光电源,5.74,sz,2026-06-30
600885,宏发股份,5.49,sh,2026-06-30
600732,爱旭股份,5.21,sh,2026-06-30
002536,飞龙股份,4.39,sz,2026-06-30
002353,杰瑞股份,3.71,sz,2026-06-30
688981,中芯国际,3.21,sh,2026-06-30
002850,科达利,2.82,sz,2026-06-30
300750,宁德时代,9.82,sz,2026-06-30
002595,豪迈科技,7.46,sz,2026-06-30
000333,美的集团,6.12,sz,2026-06-30
600732,爱旭股份,6.05,sh,2026-06-30
600176,中国巨石,5.19,sh,2026-06-30
600352,浙江龙盛,4.24,sh,2026-06-30
300274,阳光电源,3.83,sz,2026-06-30
002262,恩华药业,3.05,sz,2026-06-30
603556,海兴电力,2.52,sh,2026-06-30
300677,英科医疗,2.41,sz,2026-06-30
