date,open,high,low,close,volume
2026-05-26,1.383,1.383,1.383,1.383,100.0
2026-05-27,1.369,1.382,1.361,1.382,6314.0
2026-05-28,1.368,1.377,1.354,1.377,2400.0
2026-06-02,1.351,1.378,1.351,1.378,821.0
2026-06-03,1.364,1.364,1.337,1.363,800.0
2026-06-04,1.349,1.349,1.349,1.349,2165.0
2026-06-08,1.378,1.378,1.35,1.35,1000.0
2026-06-09,1.382,1.382,1.34,1.341,15300.0
2026-06-10,1.33,1.33,1.33,1.33,600.0
2026-06-11,1.33,1.356,1.33,1.356,9273.0
2026-06-12,1.35,1.367,1.344,1.366,7297.0
2026-06-15,1.352,1.379,1.352,1.353,1601.0
2026-06-16,1.339,1.339,1.324,1.325,11500.0
2026-06-17,1.325,1.328,1.323,1.328,8300.0
2026-06-18,1.323,1.327,1.302,1.324,49197.0
2026-06-22,1.311,1.356,1.291,1.327,4373.0
2026-06-23,1.293,1.339,1.293,1.324,42973.0
2026-06-24,1.311,1.329,1.311,1.324,10171.0
2026-06-25,1.311,1.311,1.284,1.284,1750.0
2026-06-26,1.294,1.294,1.294,1.294,200.0
2026-06-29,1.281,1.294,1.268,1.293,2501.0
2026-06-30,1.285,1.285,1.281,1.282,1100.0
2026-07-01,1.28,1.306,1.268,1.306,12150.0
2026-07-02,1.293,1.303,1.293,1.303,1200.0
2026-07-03,1.316,1.35,1.308,1.35,14500.0
2026-07-06,1.336,1.376,1.322,1.369,23853.0
2026-07-07,1.38,1.38,1.302,1.33,6872.0
2026-07-08,1.334,1.365,1.333,1.344,25976.0
2026-07-09,1.344,1.348,1.324,1.331,17837.0
2026-07-10,1.319,1.357,1.319,1.343,11729.0
2026-07-13,1.342,1.351,1.34,1.34,9000.0
2026-07-14,1.355,1.398,1.355,1.398,46092.0
2026-07-15,1.384,1.387,1.372,1.375,13400.0
2026-07-16,1.372,1.384,1.363,1.383,25152.0
2026-07-17,1.369,1.369,1.356,1.356,5500.0
2026-07-20,1.382,1.383,1.38,1.38,27939.0
2026-07-21,1.38,1.396,1.38,1.396,5100.0
2026-07-22,1.395,1.395,1.395,1.395,200.0
2026-07-23,1.381,1.381,1.38,1.38,3800.0
2026-07-24,1.374,1.374,1.374,1.374,3500.0
