stock_code,stock_name,weight_pct,market,report_date
300308,中际旭创,5.94,sz,2026-06-30
300750,宁德时代,5.51,sz,2026-06-30
300502,新易盛,4.14,sz,2026-06-30
600519,贵州茅台,3.48,sh,2026-06-30
601318,中国平安,2.81,sh,2026-06-30
688256,寒武纪,2.65,sh,2026-06-30
600036,招商银行,2.52,sh,2026-06-30
603986,兆易创新,2.52,sh,2026-06-30
601899,紫金矿业,2.12,sh,2026-06-30
002371,北方华创,1.9,sz,2026-06-30
688795,摩尔线程,0.26,sh,2026-06-30
600027,华电国际,0.23,sh,2026-06-30
688802,沐曦股份,0.22,sh,2026-06-30
001309,德明利,0.19,sz,2026-06-30
601607,上海医药,0.19,sh,2026-06-30
300750,宁德时代,6.94,sz,2026-06-30
600519,贵州茅台,5.43,sh,2026-06-30
601318,中国平安,3.83,sh,2026-06-30
300308,中际旭创,3.34,sz,2026-06-30
600036,招商银行,3.26,sh,2026-06-30
601899,紫金矿业,3.24,sh,2026-06-30
300502,新易盛,2.56,sz,2026-06-30
000333,美的集团,2.38,sz,2026-06-30
600900,长江电力,2.09,sh,2026-06-30
601166,兴业银行,2.03,sh,2026-06-30
600039,四川路桥,0.28,sh,2026-06-30
600029,南方航空,0.27,sh,2026-06-30
002911,佛燃能源,0.26,sz,2026-06-30
000100,TCL科技,0.26,sz,2026-06-30
002152,广电运通,0.22,sz,2026-06-30
