date,t1_date,t1_nav,est_nav,off_nav,est_pct,off_pct,err_pp,method
2026-04-27,2026-04-24,3.424,3.438260239559998,3.432,0.004164789591120978,0.002336448598130843,0.1824079125873606,v_active_bench_csi1000
2026-04-28,2026-04-27,3.432,3.385889756300902,3.365,-0.013435385693210386,-0.019522144522144444,0.6207951352422538,v_active_bench_csi1000
2026-04-29,2026-04-28,3.365,3.412600559860513,3.455,0.014145783019468994,0.026745913818722097,-1.2271907420980361,v_active_bench_csi1000
2026-04-30,2026-04-29,3.455,3.4711016736654936,3.459,0.00466039758769704,0.0011577424023154858,0.3498604702368756,v_active_bench_csi1000
2026-05-06,2026-04-30,3.459,3.538484459994796,3.505,0.02297902861948428,0.013298641225787748,0.9553340940027419,v_active_bench_csi1000
2026-05-07,2026-05-06,3.505,3.562208649637369,3.54,0.016322011308807092,0.009985734664764663,0.6273629841064632,v_active_bench_csi1000
2026-05-08,2026-05-07,3.54,3.5508220817923215,3.537,0.003057085252068059,-0.0008474576271186761,0.39078546203906095,v_active_bench_csi1000
2026-05-11,2026-05-08,3.537,3.5878338359559288,3.6,0.014372020343774019,0.017811704834605646,-0.3379490012242038,v_active_bench_csi1000
2026-05-12,2026-05-11,3.6,3.5817734038482296,3.552,-0.005062943375491802,-0.013333333333333345,0.8382151984298866,v_active_bench_csi1000
2026-05-13,2026-05-12,3.552,3.6057759234503903,3.574,0.015139618088510937,0.0061936936936936365,0.8890857148962085,v_active_bench_csi1000
2026-05-14,2026-05-13,3.574,3.5034662106760277,3.535,-0.019735251629538913,-0.010912143256854981,-0.8920449596597577,v_active_bench_csi1000
2026-05-15,2026-05-14,3.535,3.4963206879280313,3.497,-0.010941813881745059,-0.010749646393210821,-0.019425566827811987,v_active_bench_csi1000
2026-05-18,2026-05-15,3.497,3.5121271515598798,3.483,0.004325751089470948,-0.004003431512725133,0.836266194656321,v_active_bench_csi1000
2026-05-19,2026-05-18,3.483,3.5183212308002116,3.475,0.010141036692567109,-0.0022968705139247794,1.246654123747095,v_active_bench_csi1000
2026-05-20,2026-05-19,3.475,3.4751045421855458,3.528,3.0084082171482436e-05,0.01525179856115106,-1.499304359820132,v_active_bench_csi1000
2026-05-21,2026-05-20,3.528,3.40848412436953,3.43,-0.0338763819814257,-0.027777777777777738,-0.6272850038037989,v_active_bench_csi1000
2026-05-22,2026-05-21,3.43,3.5034202918372794,3.499,0.021405332897166052,0.020116618075801732,0.12633014682135815,v_active_bench_csi1000
2026-05-25,2026-05-22,3.499,3.541927492440179,3.473,0.0122685031266588,-0.007430694484138395,1.9846672168205948,v_active_bench_csi1000
2026-05-26,2026-05-25,3.473,3.4287714390625084,3.437,-0.012734972916064267,-0.010365678088108274,-0.23941114162035118,v_active_bench_csi1000
2026-05-27,2026-05-26,3.437,3.381318423441794,3.39,-0.016200633272681408,-0.013674716322374079,-0.2560937037818946,v_active_bench_csi1000
2026-05-28,2026-05-27,3.39,3.4261862520789186,3.458,0.010674410642748749,0.02005899705014751,-0.920004277648398,v_active_bench_csi1000
2026-05-29,2026-05-28,3.458,3.3663202399052623,3.376,-0.026512365556604266,-0.023713128976286954,-0.28672275162137406,v_active_bench_csi1000
2026-06-01,2026-05-29,3.376,3.350462602702713,3.274,-0.007564394934030509,-0.030213270142180056,2.3354490746094343,v_active_bench_csi1000
2026-06-02,2026-06-01,3.274,3.2895564579049648,3.298,0.004751514326501129,0.007330482590103855,-0.2560200756529801,v_active_bench_csi1000
2026-06-03,2026-06-02,3.298,3.316839800824851,3.35,0.0057124926697547885,0.015767131594906017,-0.9898566917954894,v_active_bench_csi1000
2026-06-04,2026-06-03,3.35,3.345000829511001,3.343,-0.001492289698208688,-0.002089552238806005,0.059851316512144814,v_active_bench_csi1000
2026-06-05,2026-06-04,3.343,3.311582506966964,3.261,-0.009397993728099222,-0.024528866287765436,1.5511348349268281,v_active_bench_csi1000
2026-06-08,2026-06-05,3.261,3.1594663734870903,3.153,-0.031135733367957552,-0.03311867525298991,0.20508637764320414,v_active_bench_csi1000
2026-06-09,2026-06-08,3.153,3.2456388667560665,3.261,0.02938118197147696,0.03425309229305427,-0.4710559105775413,v_active_bench_csi1000
2026-06-10,2026-06-09,3.261,3.2139687848987903,3.199,-0.014422329071208061,-0.0190125728304202,0.4679207533226164,v_active_bench_csi1000
2026-06-11,2026-06-10,3.199,3.183678305145813,3.236,-0.004789526368923555,0.011566114410753475,-1.6168632526015803,v_active_bench_csi1000
2026-06-12,2026-06-11,3.236,3.253190018696102,3.228,0.005312119498177385,-0.002472187886279359,0.7803599348234765,v_active_bench_csi1000
2026-06-15,2026-06-12,3.228,3.35331148843218,3.318,0.03882016370265799,0.027881040892193263,1.0642401576907814,v_active_bench_csi1000
2026-06-16,2026-06-15,3.318,3.3667387283037558,3.385,0.014689188759420152,0.020192887281494792,-0.539476268722128,v_active_bench_csi1000
2026-06-17,2026-06-16,3.385,3.407731999075222,3.404,0.006715509327983036,0.005612998522895164,0.10963569551181725,v_active_bench_csi1000
2026-06-18,2026-06-17,3.404,3.4300276244337957,3.43,0.007646188141538193,0.007638072855464232,0.0008053770785877229,v_active_bench_csi1000
2026-06-22,2026-06-18,3.43,3.467014647320541,3.489,0.010791442367504643,0.017201166180757933,-0.6301333528076495,v_active_bench_csi1000
2026-06-23,2026-06-22,3.489,3.4159443759280177,3.391,-0.02093884324218467,-0.028088277443393483,0.7356053060459358,v_active_bench_csi1000
2026-06-24,2026-06-23,3.391,3.43532032713217,3.455,0.013069987358351557,0.018873488646417004,-0.5695997935696063,v_active_bench_csi1000
2026-06-25,2026-06-24,3.455,3.467743069387605,3.448,0.0036882979414197014,-0.002026049204052132,0.5725948198261329,v_active_bench_csi1000
2026-06-26,2026-06-25,3.448,3.3602904608244804,3.356,-0.02543780138501149,-0.026682134570765684,0.12784448225507986,v_active_bench_csi1000
2026-06-29,2026-06-26,3.356,3.3546285570920484,3.374,-0.0004086540250153717,0.005363528009535232,-0.5741387939523317,v_active_bench_csi1000
2026-06-30,2026-06-29,3.374,3.457151416515651,3.478,0.02464475889616212,0.030823947836395995,-0.599441733305039,v_active_bench_csi1000
2026-07-01,2026-06-30,3.478,3.5043892257995823,3.409,0.007587471477740679,-0.019838987924094418,2.798158574349737,v_active_bench_csi1000
2026-07-02,2026-07-01,3.409,3.3124917458540013,3.257,-0.028309842811967884,-0.044587855676151276,1.70376867835435,v_active_bench_csi1000
2026-07-03,2026-07-02,3.257,3.2552837690691168,3.239,-0.0005269361163289529,-0.005526558182376493,0.5027406319579155,v_active_bench_csi1000
2026-07-06,2026-07-03,3.239,3.183323604950776,3.164,-0.017189377909609144,-0.0231552948440876,0.6107334055238836,v_active_bench_csi1000
2026-07-07,2026-07-06,3.164,3.1002170001356144,3.109,-0.0201589759369109,-0.0173830594184577,-0.2825024079892434,v_active_bench_csi1000
2026-07-08,2026-07-07,3.109,3.040113913674666,3.044,-0.022156991420178098,-0.020907044065615936,-0.1276638083224063,v_active_bench_csi1000
2026-07-09,2026-07-08,3.044,3.112326558437007,3.104,0.022446306976677655,0.019710906701708296,0.2682525269654218,v_active_bench_csi1000
2026-07-10,2026-07-09,3.104,3.0659411993406818,3.03,-0.012261211552615527,-0.023840206185567103,1.186178196062111,v_active_bench_csi1000
2026-07-13,2026-07-10,3.03,2.878300570068848,2.88,-0.050065818459126055,-0.04950495049504948,-0.05900798372055236,v_active_bench_csi1000
2026-07-14,2026-07-13,2.88,2.930763361866229,2.957,0.017626167314662915,0.026736111111111096,-0.8872721722614352,v_active_bench_csi1000
2026-07-15,2026-07-14,2.957,2.9169675053623774,2.91,-0.013538212593041075,-0.015894487656408423,0.23943317396485309,v_active_bench_csi1000
2026-07-16,2026-07-15,2.91,2.84074027949696,2.819,-0.02380059123815805,-0.0312714776632303,0.7712053741383509,v_active_bench_csi1000
