date,t1_date,t1_nav,official_nav,official_pct,v_active_bench_csi300,v_active_bench_csi300_est_pct,v_active_bench_csi500,v_active_bench_csi500_est_pct,v_active_bench_csi1000,v_active_bench_csi1000_est_pct,v_active_bench_cyb,v_active_bench_cyb_est_pct,v_active_top10_blend_csi1000_a0.5,v_active_top10_blend_est_pct,v_active_alpha,v_active_top10_resid_csi1000,v_active_top10_resid_cyb,v_active_top10_resid_csi500
2026-04-27,2026-04-24,3.424,3.432,0.002336448598130843,"(3.4251328693586096, -0.20009121915472985)",0.0003308613780985345,"(3.4452438150137077, 0.3858920458539554)",0.006204385225966138,"(3.438260239559998, 0.1824079125873606)",0.004164789591120978,"(3.406265664972184, -0.7498349367079277)",-0.0051794202768155285,"(3.431130119779999, -0.025346160256442832)",0.002082394795560489,"(3.4375472275819985, 0.161632505302988)","(3.4375472275819985, 0.161632505302988)","(3.4071523817235745, -0.7239982015275482)","(3.4441816242630225, 0.3549424319062531)"
2026-04-28,2026-04-27,3.432,3.365,-0.019522144522144444,"(3.422836148881972, 1.7187562817822177)",-0.002670119789635158,"(3.3926771792768053, 0.8225016129808358)",-0.011457698345919098,"(3.385889756300902, 0.6207951352422538)",-0.013435385693210386,"(3.3830180279040603, 0.5354540238948006)",-0.014272136391590858,"(3.408944878150451, 1.3059399153180022)",-0.006717692846605193,"(3.3881952684858567, 0.689309613249822)","(3.3881952684858567, 0.689309613249822)","(3.385467126508857, 0.6082355574697395)","(3.3946433203129653, 0.8809307671014895)"
2026-04-29,2026-04-28,3.365,3.455,0.026745913818722097,"(3.4018726493251243, -1.5376946649746954)",0.010957696679085934,"(3.4217922330445023, -0.9611509972647689)",0.016877335228678094,"(3.412600559860513, -1.2271907420980361)",0.014145783019468994,"(3.4496285273883482, -0.15546954013464048)",0.025149636668156953,"(3.3888002799302566, -1.9160555736539364)",0.007072891509734497,"(3.4102205318674876, -1.2960772252536161)","(3.4102205318674876, -1.2960772252536161)","(3.445397101018931, -0.27794208338840093)","(3.418952621392277, -1.043339467662023)"
2026-04-30,2026-04-29,3.455,3.459,0.0011577424023154858,"(3.452816540054179, -0.17876438120326785)",-0.0006319710407585906,"(3.4579346549479273, -0.030799220933009127)",0.0008493936173450984,"(3.4711016736654936, 0.3498604702368756)",0.00466039758769704,"(3.445610924156426, -0.38707938258381563)",-0.0027175328056654813,"(3.4630508368327466, 0.1171100558758757)",0.00233019879384852,"(3.4702965899822185, 0.3265854288007628)","(3.4702965899822185, 0.3265854288007628)","(3.4460803779486047, -0.3735074313788785)","(3.457787922200531, -0.0350412778106059)"
2026-05-06,2026-04-30,3.459,3.505,0.013298641225787748,"(3.509213097270468, 0.12020248988496854)",0.014516651422511618,"(3.557983771019802, 1.511662511263966)",0.028616296912345098,"(3.538484459994796, 0.9553340940027419)",0.02297902861948428,"(3.55401848960118, 1.398530373785457)",0.02746993050048569,"(3.4987422299973985, -0.1785383738260033)",0.01148951430974214,"(3.5345102369950565, 0.841946847219875)","(3.5345102369950565, 0.841946847219875)","(3.5492675651211214, 1.2629833130134525)","(3.5530345824688117, 1.3704588436180245)"
2026-05-07,2026-05-06,3.505,3.54,0.009985734664764663,"(3.5218289973145893, -0.5133051606048226)",0.004801425767357804,"(3.549222035084369, 0.26050946566014205)",0.012616843105383559,"(3.562208649637369, 0.6273629841064632)",0.016322011308807092,"(3.555928902145198, 0.44996898715248085)",0.014530357245420239,"(3.533604324818684, -0.1806687904326587)",0.008161005654403546,"(3.5593482171555006, 0.5465598066525597)","(3.5593482171555006, 0.5465598066525597)","(3.5533824570379378, 0.37803550954626336)","(3.547010933330151, 0.19804896412856285)"
2026-05-08,2026-05-07,3.54,3.537,-0.0008474576271186761,"(3.519341554246395, -0.49924924381128327)",-0.0058357191394364984,"(3.5389302822797215, 0.05457399716487375)",-0.0003021801469713869,"(3.5508220817923215, 0.39078546203906095)",0.003057085252068059,"(3.505894412736362, -0.8794341889634685)",-0.00963434668464352,"(3.5454110408961608, 0.23780155205430728)",0.0015285426260340294,"(3.550280977702705, 0.3754870710405705)","(3.550280977702705, 0.3754870710405705)","(3.507599692099544, -0.8312215974118211)","(3.5389837681657355, 0.05608617941010838)"
2026-05-11,2026-05-08,3.537,3.6,0.017811704834605646,"(3.5950254169205027, -0.13818286331937182)",0.01640526347766548,"(3.5962218196536506, -0.10494945406526303)",0.016743517006969372,"(3.5878338359559288, -0.3379490012242038)",0.014372020343774019,"(3.660777781465746, 1.6882717073818263)",0.034995131881748985,"(3.562416917977964, -1.0439745006121104)",0.0071860101718870095,"(3.5852921441581325, -0.4085515511629895)","(3.5852921441581325, -0.4085515511629895)","(3.654588892392459, 1.5163581220127471)","(3.5932607286709684, -0.1872019813619927)"
2026-05-12,2026-05-11,3.6,3.552,-0.013333333333333345,"(3.5972446589013325, 1.2737798114113863)",-0.0007653725274076818,"(3.578104926591749, 0.734935996389324)",-0.006081964835625387,"(3.5817734038482296, 0.8382151984298866)",-0.005062943375491802,"(3.6054133216458037, 1.503753424712942)",0.0015037004571676733,"(3.5908867019241146, 1.0947832748906132)",-0.002531471687745901,"(3.5826847336558183, 0.8638720060759643)","(3.5826847336558183, 0.8638720060759643)","(3.605142655563513, 1.4961333210448493)","(3.5791996802621613, 0.7657567641374223)"
2026-05-13,2026-05-12,3.552,3.574,0.0061936936936936365,"(3.588104717679521, 0.3946479485036727)",0.010164616463829077,"(3.6054701391842614, 0.8805299156200772)",0.015053530175749365,"(3.6057759234503903, 0.8890857148962085)",0.015139618088510937,"(3.645384744955503, 1.997334777714135)",0.02629075026900426,"(3.578887961725196, 0.13676445789580333)",0.0075698090442554685,"(3.6030871272778713, 0.8138535891961791)","(3.6030871272778713, 0.8138535891961791)","(3.6407155077077276, 1.8666901988731874)","(3.602796632225049, 0.8057255798838564)"
2026-05-14,2026-05-13,3.574,3.535,-0.010912143256854981,"(3.5141192175325338, -0.5906869156284691)",-0.016754555810706808,"(3.4745807011899994, -1.709173940876966)",-0.027817375156687363,"(3.5034662106760277, -0.8920449596597577)",-0.019735251629538913,"(3.4968325692804427, -1.0797010104542408)",-0.021591334840390875,"(3.538733105338014, 0.10560411140067479)",-0.009867625814769456,"(3.5069929001422264, -0.7922800525537119)","(3.5069929001422264, -0.7922800525537119)","(3.500690940816421, -0.9705533008084666)","(3.479551666130499, -1.5685525847100736)"
2026-05-15,2026-05-14,3.535,3.497,-0.010749646393210821,"(3.4954364020081403, -0.04471255338460299)",-0.011191965485674596,"(3.4804417082643373, -0.47349990665320535)",-0.015433745894105505,"(3.4963206879280313, -0.019425566827811987)",-0.010941813881745059,"(3.5152490774814362, 0.5218495133381853)",-0.005587248237217619,"(3.515660343964016, 0.533610064741666)",-0.005470906940872529,"(3.49825465353163, 0.035877996329139614)","(3.49825465353163, 0.035877996329139614)","(3.516236623607364, 0.5500893224868236)","(3.4831696228511206, -0.3954926265049828)"
2026-05-18,2026-05-15,3.497,3.483,-0.004003431512725133,"(3.478240549774436, -0.1366480110698794)",-0.005364441013887275,"(3.504330049140475, 0.6124045116415473)",0.002096096408485885,"(3.5121271515598798, 0.836266194656321)",0.004325751089470948,"(3.484371309553624, 0.03937150598977479)",-0.0036112926641052047,"(3.5045635757799394, 0.6191092672965627)",0.002162875544735474,"(3.511370793981886, 0.8145505019203503)","(3.511370793981886, 0.8145505019203503)","(3.485002744075943, 0.05750054768712883)","(3.503963546683451, 0.6018819030563025)"
2026-05-19,2026-05-18,3.483,3.475,-0.0022968705139247794,"(3.496949945629731, 0.6316531116469277)",0.004005152348472764,"(3.513011846410148, 1.0938660837452594)",0.00861666563598843,"(3.5183212308002116, 1.246654123747095)",0.010141036692567109,"(3.4772731068041765, 0.06541314544392407)",-0.0016442415147354381,"(3.500660615400106, 0.7384349755426124)",0.005070518346283554,"(3.516555169260201, 1.1958322089266404)","(3.516555169260201, 1.1958322089266404)","(3.477559451463968, 0.07365327953864009)","(3.5115112540896405, 1.0506835709249036)"
2026-05-20,2026-05-19,3.475,3.528,0.01525179856115106,"(3.473436820957769, -1.5465753696777547)",-0.00044983569560609496,"(3.486422301437677, -1.1785061950771785)",0.0032869932194754792,"(3.4751045421855458, -1.499304359820132)",3.0084082171482436e-05,"(3.4868704006562217, -1.1658049700617448)",0.0034159426348838364,"(3.4750522710927734, -1.5007859667581251)",1.5042041085741218e-05,"(3.4750993150762683, -1.4994525205139364)","(3.4750993150762683, -1.4994525205139364)","(3.4862768806234103, -1.1826281002434718)","(3.4858511863657933, -1.1946942640081277)"
2026-05-21,2026-05-20,3.528,3.43,-0.027777777777777738,"(3.478831868390129, 1.4236696323652764)",-0.01393654524089304,"(3.431623712932514, 0.04733856946104499)",-0.027317541685795414,"(3.40848412436953, -0.6272850038037989)",-0.0338763819814257,"(3.4452287749289927, 0.443987607259258)",-0.023461231596090513,"(3.4682420621847654, 1.11492892666954)",-0.01693819099071285,"(3.4144599181510538, -0.4530636107564547)","(3.4144599181510538, -0.4530636107564547)","(3.4493673361825428, 0.5646453697534286)","(3.436442527285888, 0.1878287838451218)"
