date,t1_date,t1_nav,est_nav,off_nav,est_pct,off_pct,err_pp,method
2026-04-27,2026-04-24,3.424,3.4354081916479986,3.432,0.0033318316728967825,0.002336448598130843,0.09930628344984439,v_active_top10_blend
2026-04-28,2026-04-27,3.432,3.3951118050407216,3.365,-0.01074830855456831,-0.019522144522144444,0.8948530472725532,v_active_top10_blend
2026-04-29,2026-04-28,3.365,3.403080447888411,3.455,0.011316626415575196,0.026745913818722097,-1.502736674720381,v_active_top10_blend
2026-04-30,2026-04-29,3.455,3.467881338932395,3.459,0.003728318070157632,0.0011577424023154858,0.25676030449247567,v_active_top10_blend
2026-05-06,2026-04-30,3.459,3.5225875679958367,3.505,0.018383222895587425,0.013298641225787748,0.5017851068712361,v_active_top10_blend
2026-05-07,2026-05-06,3.505,3.550766919709895,3.54,0.013057609047045674,0.009985734664764663,0.3041502742908244,v_active_top10_blend
2026-05-08,2026-05-07,3.54,3.548657665433857,3.537,0.0024456682016544473,-0.0008474576271186761,0.3295918980451494,v_active_top10_blend
2026-05-11,2026-05-08,3.537,3.5776670687647427,3.6,0.011497616275019216,0.017811704834605646,-0.6203592009793714,v_active_top10_blend
2026-05-12,2026-05-11,3.6,3.585418723078584,3.552,-0.004050354700393442,-0.013333333333333345,0.9408424290141848,v_active_top10_blend
2026-05-13,2026-05-12,3.552,3.5950207387603133,3.574,0.01211169447080875,0.0061936936936936365,0.5881572120960662,v_active_top10_blend
2026-05-14,2026-05-13,3.574,3.517572968540822,3.535,-0.015788201303631132,-0.010912143256854981,-0.49298533123558724,v_active_top10_blend
2026-05-15,2026-05-14,3.535,3.5040565503424252,3.497,-0.008753451105396047,-0.010749646393210821,0.20178868579998172,v_active_top10_blend
2026-05-18,2026-05-15,3.497,3.509101721247904,3.483,0.0034606008715767586,-0.004003431512725133,0.7494034237124253,v_active_top10_blend
2026-05-19,2026-05-18,3.483,3.5112569846401693,3.475,0.008112829354053688,-0.0022968705139247794,1.0433664644653018,v_active_top10_blend
2026-05-20,2026-05-19,3.475,3.475083633748437,3.528,2.406726573718595e-05,0.01525179856115106,-1.4998970025953244,v_active_top10_blend
2026-05-21,2026-05-20,3.528,3.432387299495624,3.43,-0.02710110558514056,-0.027777777777777738,0.06960056838553923,v_active_top10_blend
2026-05-22,2026-05-21,3.43,3.488736233469824,3.499,0.017124266317732843,0.020116618075801732,-0.2933342820856219,v_active_top10_blend
2026-05-25,2026-05-22,3.499,3.533341993952143,3.473,0.00981480250132704,-0.007430694484138395,1.7374602347291397,v_active_top10_blend
2026-05-26,2026-05-25,3.473,3.4376171512500067,3.437,-0.010187978332851413,-0.010365678088108274,0.017956102706046872,v_active_top10_blend
2026-05-27,2026-05-26,3.437,3.392454738753435,3.39,-0.012960506618145127,-0.013674716322374079,0.07241117266770054,v_active_top10_blend
2026-05-28,2026-05-27,3.39,3.4189490016631345,3.458,0.008539528514198999,0.02005899705014751,-1.129294341725438,v_active_top10_blend
2026-05-29,2026-05-28,3.458,3.3846561919242104,3.376,-0.021209892445283415,-0.023713128976286954,0.2564037892242453,v_active_top10_blend
2026-06-01,2026-05-29,3.376,3.35557008216217,3.274,-0.006051515947224407,-0.030213270142180056,2.4914502798463682,v_active_top10_blend
2026-06-02,2026-06-01,3.274,3.286445166323972,3.298,0.0038012114612009035,0.007330482590103855,-0.35035881370612654,v_active_top10_blend
2026-06-03,2026-06-02,3.298,3.3130718406598807,3.35,0.004569994135803831,0.015767131594906017,-1.1023331146304296,v_active_top10_blend
2026-06-04,2026-06-03,3.35,3.346000663608801,3.343,-0.0011938317585669506,-0.002089552238806005,0.0897596054083432,v_active_top10_blend
2026-06-05,2026-06-04,3.343,3.3178660055735714,3.261,-0.007518394982479378,-0.024528866287765436,1.7438210847461282,v_active_top10_blend
2026-06-08,2026-06-05,3.261,3.1797730987896724,3.153,-0.024908586694366044,-0.03311867525298991,0.8491309479756542,v_active_top10_blend
2026-06-09,2026-06-08,3.153,3.227111093404854,3.261,0.02350494557718157,0.03425309229305427,-1.0392182335218094,v_active_top10_blend
2026-06-10,2026-06-09,3.261,3.2233750279190323,3.199,-0.01153786325696645,-0.0190125728304202,0.7619577342617211,v_active_top10_blend
2026-06-11,2026-06-10,3.199,3.186742644116651,3.236,-0.0038316210951388438,0.011566114410753475,-1.5221679815620932,v_active_top10_blend
2026-06-12,2026-06-11,3.236,3.2497520149568815,3.228,0.004249695598541908,-0.002472187886279359,0.6738542427782306,v_active_top10_blend
2026-06-15,2026-06-12,3.228,3.3282491907457445,3.318,0.031056130962126394,0.027881040892193263,0.3088966469482967,v_active_top10_blend
2026-06-16,2026-06-15,3.318,3.3569909826430053,3.385,0.011751351007536123,0.020192887281494792,-0.8274451213292308,v_active_top10_blend
2026-06-17,2026-06-16,3.385,3.403185599260178,3.404,0.0053724074623864295,0.005612998522895164,-0.023924816093474247,v_active_top10_blend
