date,open,high,low,close,volume,amount
2024-10-17,3853.841,3882.073,3787.75,3788.222,21231382000.0,0.0
2024-10-18,3780.314,3998.214,3765.162,3925.234,31295883400.0,0.0
2024-10-21,3946.902,3979.264,3896.165,3935.197,29118563400.0,0.0
2024-10-22,3923.744,3965.908,3917.522,3957.776,22343339600.0,0.0
2024-10-23,3955.319,4012.18,3939.099,3973.209,24587394900.0,0.0
2024-10-24,3950.899,3957.983,3914.089,3928.833,17472406200.0,0.0
2024-10-25,3931.321,3992.892,3921.94,3956.421,21069488500.0,0.0
2024-10-28,3953.106,3964.157,3917.204,3964.157,21616041500.0,0.0
2024-10-29,3970.008,3991.309,3921.58,3924.649,21729398400.0,0.0
2024-10-30,3904.16,3926.058,3864.305,3889.449,21943662600.0,0.0
2024-10-31,3888.423,3923.9,3859.108,3891.04,30063671800.0,0.0
2024-11-01,3882.458,3933.22,3879.959,3890.02,30798648100.0,0.0
2024-11-04,3897.714,3944.762,3891.211,3944.762,22923906000.0,0.0
2024-11-05,3937.623,4046.698,3925.414,4044.573,31686279400.0,0.0
2024-11-06,4051.289,4091.703,4002.503,4024.283,33580793800.0,0.0
2024-11-07,3987.267,4146.151,3984.665,4145.695,34143641400.0,0.0
2024-11-08,4192.079,4200.908,4094.163,4104.047,33235038500.0,0.0
2024-11-11,4066.934,4132.511,4048.039,4131.131,28959422700.0,0.0
2024-11-12,4133.353,4181.71,4060.794,4085.743,29777808600.0,0.0
2024-11-13,4059.59,4121.074,4059.59,4110.89,24048409900.0,0.0
2024-11-14,4101.223,4118.169,4034.944,4039.619,23015278400.0,0.0
2024-11-15,4025.648,4049.071,3968.831,3968.831,24739946300.0,0.0
2024-11-18,3982.104,4034.06,3931.187,3950.381,30677794600.0,0.0
2024-11-19,3954.604,3979.151,3896.749,3976.891,24294646500.0,0.0
2024-11-20,3966.124,4001.085,3958.338,3985.773,18459937200.0,0.0
2024-11-21,3979.455,3999.569,3966.066,3989.298,16612592700.0,0.0
2024-11-22,3984.244,3990.265,3865.699,3865.699,21628580900.0,0.0
2024-11-25,3875.613,3889.707,3812.318,3848.091,19070295300.0,0.0
2024-11-26,3836.259,3875.229,3833.284,3840.185,14989244100.0,0.0
2024-11-27,3829.344,3907.164,3817.913,3907.045,17413609600.0,0.0
2024-11-28,3904.253,3908.392,3866.014,3872.551,15011729100.0,0.0
2024-11-29,3869.89,3962.7,3869.89,3916.583,18765671300.0,0.0
2024-12-02,3909.703,3955.125,3902.17,3947.632,19728978400.0,0.0
2024-12-03,3946.703,3963.947,3922.843,3951.891,18249686700.0,0.0
2024-12-04,3948.13,3957.365,3917.747,3930.557,17462631800.0,0.0
2024-12-05,3916.564,3936.336,3910.083,3921.588,13853403800.0,0.0
2024-12-06,3923.895,3995.117,3923.895,3973.141,19205790700.0,0.0
2024-12-09,3970.663,3995.512,3948.421,3966.571,17595995800.0,0.0
2024-12-10,4094.05,4098.38,3988.968,3995.637,25346379500.0,0.0
2024-12-11,3988.018,4005.325,3977.352,3988.831,17725284600.0,0.0
2024-12-12,3987.153,4031.744,3981.349,4028.505,18162177700.0,0.0
2024-12-13,4000.985,4000.985,3931.739,3933.181,23035307900.0,0.0
2024-12-16,3930.781,3938.76,3901.647,3911.842,17851125100.0,0.0
2024-12-17,3908.126,3955.945,3908.126,3922.033,16093909000.0,0.0
2024-12-18,3934.543,3956.144,3933.969,3941.89,15773832100.0,0.0
2024-12-19,3911.89,3954.349,3899.748,3945.464,16108104000.0,0.0
2024-12-20,3937.472,3958.634,3923.256,3927.744,15498649600.0,0.0
2024-12-23,3928.149,3965.85,3928.149,3933.572,19006736200.0,0.0
2024-12-24,3934.942,3985.859,3934.734,3983.688,16149458900.0,0.0
2024-12-25,3987.956,4007.763,3969.477,3985.629,15939074700.0,0.0
2024-12-26,3981.732,3991.533,3965.546,3987.48,14342528600.0,0.0
